onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
6.751	10.065999999999999	trials	gain=2.0	6.774	11.19	14.84	16.816			
22.381	10.935000000000002	trials	gain=1.0	22.408	23.467	30.739	33.314			
39.949	12.001000000000005	trials	gain=1.0	39.975	41.734	49.023	51.949			
60.14	19.576999999999998	trials	gain=0.5	60.164	61.568	76.056	79.716			
85.558	10.608999999999995	trials	gain=1.0	85.582	87.336	94.606	96.166			
103.764	22.436000000000007	trials	gain=0.5	103.79	105.392	119.907	126.199			
135.383	10.917999999999978	trials	gain=1.0	135.409	137.281	144.541	146.3			
153.672	8.195999999999998	trials	gain=2.0	153.696	155.599	159.257	161.867			
167.404	12.581000000000017	trials	gain=1.0	167.428	170.836	178.124	179.984			
186.181	11.620999999999981	trials	gain=1.0	186.206	187.882	195.158	197.8			
205.858	17.62700000000001	trials	gain=0.5	205.883	207.423	221.925	223.484			
232.178	8.890999999999991	trials	gain=2.0	232.202	234.249	237.925	241.068			
247.126	20.443000000000012	trials	gain=0.5	247.15	251.005	265.525	267.568			
272.803	7.682999999999993	trials	gain=2.0	272.828	274.35	278.025	280.485			
287.71	12.643000000000029	trials	gain=1.0	287.735	290.167	297.459	300.352			
308.68	11.906000000000006	trials	gain=1.0	308.705	310.272	317.542	320.585			
328.523	8.563999999999965	trials	gain=2.0	328.548	329.589	333.243	337.086			
342.852	19.435000000000002	trials	gain=0.5	342.877	345.822	360.326	362.286			
369.101	12.252999999999986	trials	gain=1.0	369.145	371.576	378.859	381.353			
388.017	11.170000000000016	trials	gain=1.0	388.041	389.89	397.16	399.186			
408.204	10.899999999999977	trials	gain=1.0	408.229	409.507	416.793	419.103			
426.558	19.197000000000003	trials	gain=0.5	426.582	428.491	443.011	445.754			
450.77	11.867999999999995	trials	gain=1.0	450.797	453.675	460.944	462.637			
469.235	8.887	trials	gain=2.0	469.262	471.475	475.128	478.121			
485.621	8.718000000000018	trials	gain=2.0	485.647	487.875	491.544	494.337			
503.679	12.06000000000006	trials	gain=1.0	503.703	506.342	513.629	515.737			
521.831	21.04200000000003	trials	gain=0.5	521.856	526.193	540.712	542.872			
549.109	13.046999999999912	trials	gain=1.0	549.133	551.876	559.162	562.155			
570.298	12.607999999999947	trials	gain=1.0	570.323	572.012	579.312	582.905			
589.764	12.991999999999962	trials	gain=1.0	589.788	592.823	600.119	602.755			
608.476	18.464000000000055	trials	gain=0.5	608.5	610.339	624.846	626.939			
633.276	7.232000000000085	trials	gain=2.0	633.3	634.398	638.079	640.506			
650.922	7.351999999999975	trials	gain=2.0	650.948	652.278	655.93	658.273			
664.527	10.363999999999919	trials	gain=1.0	664.552	666.011	673.28	674.89			
686.008	13.982999999999947	trials	gain=1.0	686.033	688.678	695.963	699.99			
706.431	21.52699999999993	trials	gain=0.5	706.455	710.345	724.831	727.956			
733.672	21.65300000000002	trials	gain=0.5	733.698	735.113	749.614	755.324			
764.072	11.519999999999982	trials	gain=1.0	764.099	766.429	773.714	775.591			
782.316	7.992999999999938	trials	gain=2.0	782.34	785.013	788.664	790.308			
