onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
6.684	11.451999999999998	trials	ytpst=1000.0 scnpz=1000.0	6.71	8.038	15.309	18.135			
29.354	12.999000000000002	trials	ytpst=1000.0 scnpz=1000.0	29.378	31.71	38.981	42.352			
47.68	11.557000000000002	trials	ytpst=1000.0 scnpz=1000.0	47.704	50.177	57.459	59.235			
64.522	10.730999999999995	trials	ytpst=1000.0 scnpz=1000.0	64.546	66.028	73.31	75.252			
80.294	12.659999999999997	trials	ytpst=1000.0 scnpz=1000.0	80.319	83.794	91.093	92.953			
98.298	11.838999999999999	trials	ytpst=1000.0 scnpz=1000.0	98.322	100.456	107.744	110.136			
118.172	11.882000000000005	trials	ytpst=1000.0 scnpz=1000.0	118.196	120.911	128.194	130.053			
137.18	12.474999999999994	trials	ytpst=1000.0 scnpz=1000.0	137.204	140.795	148.077	149.654			
154.613	11.457999999999998	trials	ytpst=1000.0 scnpz=1000.0	154.637	156.678	163.978	166.07			
177.462	12.343000000000018	trials	ytpst=1000.0 scnpz=1000.0	177.487	180.112	187.394	189.803			
198.69	11.182000000000016	trials	ytpst=1000.0 scnpz=1000.0	198.714	200.713	208.011	209.871			
219.454	10.21799999999999	trials	ytpst=65.0 scnpz=1000.0	219.48	220.747	227.695	229.671	225.754		
237.398	10.807000000000016	trials	ytpst=1000.0 scnpz=1000.0	237.421	238.663	245.961	248.204			
255.332	11.072999999999979	trials	ytpst=1000.0 scnpz=1000.0	255.356	257.175	264.462	266.404			
275.537	16.819000000000017	trials	ytpst=1000.0 scnpz=70.0	275.563	278.192	290.495	292.355		283.61	288.622
297.849	9.240000000000009	trials	ytpst=40.0 scnpz=1000.0	297.874	299.581	304.579	307.088	302.677		
312.23	11.492999999999995	trials	ytpst=1000.0 scnpz=1000.0	312.255	313.414	320.696	323.721			
329.483	11.374000000000024	trials	ytpst=1000.0 scnpz=1000.0	329.507	331.581	338.879	340.856			
346.82	10.437000000000012	trials	ytpst=1000.0 scnpz=1000.0	346.845	348.11	355.413	357.255			
368.375	12.132000000000005	trials	ytpst=1000.0 scnpz=1000.0	368.4	371.665	378.947	380.505			
386.389	13.33499999999998	trials	ytpst=1000.0 scnpz=1000.0	386.415	389.815	397.113	399.723			
410.339	17.101999999999975	trials	ytpst=1000.0 scnpz=70.0	410.365	411.533	423.831	427.439		416.956	421.956
435.298	12.12700000000001	trials	ytpst=1000.0 scnpz=1000.0	435.323	438.378	445.648	447.424			
