onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
7.542	9.081999999999999	trials	same=1.0	7.562	10.019	14.989	16.622			
33.26	12.618000000000002	trials	same=1.0	33.28	38.613	44.128	45.877			
55.61	9.551000000000002	trials	same=1.0	55.63	57.116	62.631	65.16			
72.96	8.655000000000001	trials	same=1.0	72.98	74.04	79.545	81.613			
88.711	10.433999999999997	trials	same=1.0	88.731	91.387	96.894	99.144			
104.727	8.034999999999997	trials	same=1.0	104.747	105.78	111.212	112.761			
125.194	12.069000000000003	trials	same=1.0	125.214	129.301	134.863	137.261			
146.928	9.384999999999991	trials	same=1.0	146.948	149.114	154.617	156.311			
168.345	10.769000000000005	trials	same=1.0	168.365	170.156	175.636	179.113			
188.278	10.869	trials	same=1.0	188.298	192.098	197.593	199.145			
205.634	11.346000000000004	trials	same=1.0	205.654	209.599	215.136	216.979			
224.162	11.367999999999995	trials	same=1.0	224.182	228.398	233.896	235.529			
243.712	12.819000000000017	trials	same=1.0	243.732	249.163	254.699	256.529			
263.749	8.364999999999952	trials	same=1.0	263.769	264.882	270.347	272.113			
288.113	10.867000000000019	trials	same=1.0	288.133	291.306	296.833	298.979			
304.446	13.537999999999954	trials	same=1.0	304.466	307.478	312.984	317.983			
332.297	11.450999999999965	trials	same=1.0	332.317	334.751	340.27	343.747			
352.397	9.367000000000019	trials	same=1.0	352.417	354.584	360.081	361.763			
368.931	13.451999999999998	trials	same=1.0	368.951	372.588	378.086	382.382			
390.581	13.250999999999976	trials	same=1.0	390.601	394.814	400.271	403.831			
410.266	10.581999999999994	trials	same=1.0	410.286	411.842	417.329	420.847			
433.781	10.317999999999984	trials	same=1.0	433.801	435.092	440.629	444.098			
450.981	8.800999999999988	trials	same=1.0	451.001	452.663	458.226	459.781			
472.414	11.238	trials	same=1.0	472.435	476.41	481.872	483.651			
501.282	12.20999999999998	trials	same=1.0	501.302	503.966	509.471	513.49			
519.099	16.05099999999993	trials	same=1.0	519.119	524.506	530.051	535.148			
546.066	12.250999999999976	trials	same=1.0	546.086	550.36	555.876	558.316			
571.449	11.985000000000014	trials	same=1.0	571.469	576.395	581.893	583.433			
590.199	11.756000000000085	trials	same=1.0	590.219	594.251	599.753	601.954			
614.218	12.950000000000045	trials	same=1.0	614.238	620.065	625.611	627.167			
638.6	8.900999999999954	trials	same=1.0	638.62	640.467	645.947	647.5			
653.85	12.486999999999966	trials	same=1.0	653.87	655.955	661.447	666.336			
674.601	10.202999999999975	trials	same=1.0	674.621	676.564	682.041	684.802			
696.084	8.254000000000019	trials	same=1.0	696.104	697.288	702.778	704.337			
711.517	9.73599999999999	trials	same=1.0	711.537	713.969	719.462	721.251			
730.085	8.650999999999954	trials	same=1.0	730.105	731.152	736.679	738.735			
745.651	8.651000000000067	trials	same=1.0	745.671	747.253	752.708	754.301			
767.818	13.81899999999996	trials	same=1.0	767.838	772.964	778.456	781.635			
795.052	10.918000000000006	trials	same=1.0	795.072	798.656	804.141	805.969			
817.102	9.433999999999969	trials	same=1.0	817.122	819.315	824.814	826.535			
832.269	8.701999999999998	trials	same=1.0	832.289	833.501	838.999	840.969			
847.086	8.467999999999961	trials	same=1.0	847.106	848.325	853.806	855.553			
863.769	9.208999999999946	trials	same=1.0	863.789	865.149	870.617	872.977			
879.619	9.302000000000021	trials	same=1.0	879.639	881.099	886.629	888.92			
895.22	10.567999999999984	trials	same=1.0	895.24	898.006	903.48	905.787			
914.937	8.66700000000003	trials	same=1.0	914.957	916.476	921.993	923.603			
929.586	9.067999999999984	trials	same=1.0	929.606	930.82	936.342	938.653			
953.471	10.866999999999962	trials	same=1.0	953.49	956.206	961.711	964.337			
977.471	11.750999999999976	trials	same=1.0	977.491	982.09	987.568	989.22			
996.22	9.452999999999975	trials	same=1.0	996.24	997.997	1003.532	1005.671			
1016.688	13.100999999999999	trials	same=1.0	1016.708	1018.383	1023.854	1029.788			
1041.196	9.759999999999991	trials	same=1.0	1041.216	1042.63	1048.128	1050.954			
1057.938	12.067999999999984	trials	same=1.0	1057.958	1060.504	1065.985	1070.005			
