onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
14.108	12.899000000000001	trials	wrdid=1.0 yenvtele=1000.0	14.132	17.088	24.9	27.006			
33.001	11.824000000000005	trials	wrdid=1.0 yenvtele=1000.0	33.025	34.977	42.768	44.824			
52.834	13.804000000000002	trials	wrdid=1.0 yenvtele=1000.0	52.858	56.607	64.396	66.637			
71.535	11.730000000000004	trials	wrdid=1.0 yenvtele=1000.0	71.559	73.302	81.083	83.264			
88.387	16.004000000000005	trials	wrdid=1.0 yenvtele=1000.0	88.411	92.508	100.292	104.39			
111.488	13.257999999999996	trials	wrdid=2.0 yenvtele=1000.0	111.518	113.146	120.934	124.745			
134.0	14.461000000000013	trials	wrdid=1.0 yenvtele=55.0	134.026	138.347	146.136	148.46	143.106		
158.847	10.965000000000003	trials	wrdid=2.0 yenvtele=1000.0	158.873	159.934	167.734	169.811			
180.261	11.733000000000004	trials	wrdid=2.0 yenvtele=1000.0	180.287	181.859	189.682	191.992			
201.388	12.507000000000005	trials	wrdid=1.0 yenvtele=55.0	201.413	202.808	210.621	213.894	207.577		
220.698	12.014999999999986	trials	wrdid=1.0 yenvtele=1000.0	220.724	222.535	230.341	232.712			
239.934	11.419000000000011	trials	wrdid=1.0 yenvtele=1000.0	239.959	241.416	249.216	251.351			
258.239	12.420000000000016	trials	wrdid=1.0 yenvtele=1000.0	258.263	259.704	267.514	270.658			
274.876	14.947000000000003	trials	wrdid=2.0 yenvtele=55.0	274.907	279.335	287.131	289.822	284.114		
295.132	11.117999999999995	trials	wrdid=1.0 yenvtele=55.0	295.156	296.383	304.21	306.249	301.171		
313.096	11.634999999999991	trials	wrdid=1.0 yenvtele=1000.0	313.121	314.743	322.533	324.73			
329.533	11.959000000000003	trials	wrdid=2.0 yenvtele=1000.0	329.564	331.299	339.097	341.491			
346.366	14.359000000000037	trials	wrdid=1.0 yenvtele=1000.0	346.391	349.2	357.012	360.724			
374.041	13.579999999999984	trials	wrdid=1.0 yenvtele=1000.0	374.065	376.344	384.144	387.619			
391.996	12.182999999999993	trials	wrdid=1.0 yenvtele=1000.0	392.02	393.853	401.667	404.178			
409.234	12.283999999999992	trials	wrdid=1.0 yenvtele=55.0	409.258	411.231	419.048	421.517	416.001		
426.209	12.913999999999987	trials	wrdid=1.0 yenvtele=55.0	426.234	428.286	436.1	439.121	433.041		
446.867	11.697999999999979	trials	wrdid=1.0 yenvtele=1000.0	446.891	448.703	456.513	458.564			
468.48	12.161000000000001	trials	wrdid=1.0 yenvtele=1000.0	468.504	470.605	478.407	480.64			
493.274	11.293999999999983	trials	wrdid=1.0 yenvtele=1000.0	493.298	494.574	502.365	504.567			
511.464	14.871000000000038	trials	wrdid=1.0 yenvtele=1000.0	511.488	515.649	523.432	526.334			
535.34	12.738999999999919	trials	wrdid=2.0 yenvtele=1000.0	535.37	537.461	545.279	548.078			
552.332	12.144000000000005	trials	wrdid=2.0 yenvtele=55.0	552.359	554.445	562.261	564.475	559.228		
570.113	12.52299999999991	trials	wrdid=1.0 yenvtele=1000.0	570.137	571.529	579.329	582.635			
588.031	12.27800000000002	trials	wrdid=1.0 yenvtele=55.0	588.056	590.312	598.1	600.307	595.074		
605.735	12.173999999999978	trials	wrdid=1.0 yenvtele=1000.0	605.761	607.897	615.695	617.907			
