onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
13.949	12.947000000000001	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	13.974	16.184	23.99	26.895			
31.682	12.797	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	31.705	33.244	41.03	44.478			
50.31	8.866999999999997	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	50.334	51.378	56.885	59.176	55.007		
66.764	13.513000000000005	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	66.789	69.169	76.964	80.276			
88.247	15.269000000000005	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	88.277	92.507	100.296	103.515			
112.381	12.293999999999997	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	112.409	113.661	121.459	124.674			
129.634	12.768	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	129.66	130.697	138.506	142.401	135.835		
147.913	12.157999999999987	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	147.94	149.142	156.936	160.069			
166.493	14.587999999999994	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	166.519	170.96	178.764	181.079	176.102		
187.447	14.157999999999987	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	187.475	191.25	199.068	201.604			
213.867	11.624000000000024	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	213.896	215.391	223.204	225.49			
231.516	13.177000000000021	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	231.542	233.604	241.41	244.692			
251.848	13.550000000000011	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	251.878	254.659	262.458	265.397			
270.734	10.44300000000004	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	270.759	273.481	278.98	281.176	277.081		
286.591	14.57099999999997	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	286.615	289.168	296.966	301.161	294.301		
307.175	12.01400000000001	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	307.202	309.041	316.863	319.188			
325.626	11.90100000000001	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	325.653	327.177	334.978	337.525			
346.055	13.659999999999968	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	346.081	347.853	355.663	359.714			
366.243	11.158000000000015	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	366.274	367.413	375.22	377.4			
383.241	11.122000000000014	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	383.267	386.625	392.127	394.362	390.255		
401.278	11.777999999999963	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	401.304	402.945	410.739	413.055			
419.207	14.524000000000001	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	419.232	421.526	429.338	433.73	426.683		
438.216	11.307999999999993	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	438.243	439.387	447.185	449.522			
456.51	12.896000000000015	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	456.539	459.312	467.117	469.405			
473.727	11.775000000000034	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	473.755	475.392	483.181	485.501			
493.32	10.382000000000005	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	493.345	495.568	501.072	503.701	499.185		
