onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
54.019	7.076999999999998	trials	wrdid=1.0	54.064	54.065	58.841	61.094			
69.633	9.616	trials	wrdid=1.0	69.679	69.68	76.644	79.248			
87.174	10.010999999999996	trials	wrdid=1.0	87.22	87.221	93.568	97.183			
104.597	9.548000000000002	trials	wrdid=1.0	104.642	104.643	110.54	114.143			
121.584	7.469999999999999	trials	wrdid=1.0	121.63	121.631	126.913	129.053			
138.172	7.185000000000002	trials	wrdid=4.0	138.215	138.216	142.987	145.356			
153.039	6.77000000000001	trials	wrdid=4.0	153.078	153.079	157.589	159.808			
166.431	7.681999999999988	trials	wrdid=1.0	166.478	166.479	172.003	174.112			
179.503	7.267000000000024	trials	wrdid=1.0	179.55	179.551	184.266	186.769			
191.178	8.89500000000001	trials	wrdid=4.0	191.218	191.219	196.56	200.072			
205.693	9.625999999999976	trials	wrdid=1.0	205.739	205.74	211.166	215.318			
224.307	7.471000000000004	trials	wrdid=1.0	224.354	224.355	228.995	231.777			
236.161	5.836000000000013	trials	wrdid=1.0	236.209	236.21	239.905	241.996			
247.748	10.225000000000023	trials	wrdid=4.0	247.787	247.788	255.783	257.971			
262.493	8.117999999999995	trials	wrdid=1.0	262.539	262.54	266.818	270.61			
277.287	6.5470000000000255	trials	wrdid=1.0	277.333	277.334	281.549	283.832			
290.707	6.343999999999994	trials	wrdid=1.0	290.753	290.754	294.372	297.05			
309.615	7.351999999999975	trials	wrdid=4.0	309.653	309.654	314.627	316.966			
323.303	8.533999999999992	trials	wrdid=4.0	323.341	323.342	327.847	331.835			
337.346	7.358000000000004	trials	wrdid=1.0	337.391	337.392	341.238	344.703			
350.326	7.867999999999995	trials	wrdid=1.0	350.372	350.373	354.198	358.193			
364.065	7.877999999999986	trials	wrdid=1.0	364.114	364.115	369.02	371.941			
378.849	6.1510000000000105	trials	wrdid=1.0	378.896	378.897	382.732	384.998			
389.614	7.539000000000044	trials	wrdid=4.0	389.653	389.654	394.74	397.151			
403.017	6.0849999999999795	trials	wrdid=1.0	403.062	403.063	406.741	409.1			
413.358	6.392999999999972	trials	wrdid=1.0	413.405	413.406	417.007	419.75			
427.42	6.858000000000004	trials	wrdid=4.0	427.459	427.46	432.132	434.277			
449.329	6.1129999999999995	trials	wrdid=1.0	449.375	449.376	453.353	455.44			
466.137	6.987000000000023	trials	wrdid=4.0	466.177	466.178	470.181	473.123			
478.747	6.106999999999971	trials	wrdid=1.0	478.793	478.794	482.755	484.853			
489.539	6.321000000000026	trials	wrdid=1.0	489.586	489.587	493.132	495.859			
502.972	6.135000000000048	trials	wrdid=4.0	503.012	503.013	506.84	509.106			
514.874	5.678999999999974	trials	wrdid=1.0	514.921	514.922	518.152	520.552			
525.306	6.649999999999977	trials	wrdid=4.0	525.345	525.346	528.938	531.955			
536.299	5.026000000000067	trials	wrdid=1.0	536.344	536.345	539.216	541.323			
549.061	5.903999999999996	trials	wrdid=1.0	549.108	549.109	552.744	554.963			
561.274	8.217999999999961	trials	wrdid=1.0	561.32	561.321	565.242	569.491			
578.293	6.173000000000002	trials	wrdid=1.0	578.339	578.34	581.684	584.465			
589.309	6.451000000000022	trials	wrdid=4.0	589.347	589.348	593.313	595.759			
604.234	6.942000000000007	trials	wrdid=1.0	604.28	604.281	607.385	611.175			
616.981	5.206999999999994	trials	wrdid=1.0	617.026	617.027	619.802	622.187			
627.706	6.965000000000032	trials	wrdid=4.0	627.744	627.745	631.494	634.67			
643.182	7.326999999999998	trials	wrdid=1.0	643.228	643.229	647.091	650.508			
655.606	5.280999999999949	trials	wrdid=1.0	655.652	655.653	658.563	660.886			
670.573	7.2590000000000146	trials	wrdid=4.0	670.613	670.614	674.29	677.831			
690.999	8.021999999999935	trials	wrdid=4.0	691.038	691.039	695.82	699.02			
704.938	5.351999999999975	trials	wrdid=1.0	704.984	704.985	707.93	710.288			
716.872	6.762000000000057	trials	wrdid=1.0	716.917	716.918	720.502	723.633			
731.616	5.697000000000003	trials	wrdid=4.0	731.655	731.656	735.087	737.312			
743.361	5.47199999999998	trials	wrdid=1.0	743.407	743.408	746.598	748.832			
757.24	7.793000000000006	trials	wrdid=1.0	757.285	757.286	761.106	765.032			
769.395	6.29200000000003	trials	wrdid=4.0	769.434	769.435	772.78	775.686			
780.967	6.192999999999984	trials	wrdid=1.0	781.013	781.014	784.937	787.159			
791.895	5.335000000000036	trials	wrdid=1.0	791.942	791.943	794.859	797.229			
802.735	5.920999999999935	trials	wrdid=1.0	802.782	802.783	805.922	808.654			
813.354	9.701999999999998	trials	wrdid=4.0	813.393	813.394	818.566	823.054			
831.173	6.403999999999996	trials	wrdid=1.0	831.219	831.22	835.315	837.576			
843.583	8.168999999999983	trials	wrdid=1.0	843.629	843.63	847.412	851.751			
861.992	6.208000000000084	trials	wrdid=1.0	862.04	862.041	865.847	868.199			
876.682	6.210000000000036	trials	wrdid=4.0	876.722	876.723	880.707	882.891			
892.649	7.2690000000000055	trials	wrdid=1.0	892.695	892.696	896.132	899.916			
904.502	6.435000000000059	trials	wrdid=1.0	904.547	904.548	907.778	910.935			
915.456	6.335000000000036	trials	wrdid=4.0	915.495	915.496	919.108	921.79			
930.512	6.121000000000095	trials	wrdid=1.0	930.559	930.56	934.411	936.632			
942.025	6.552999999999997	trials	wrdid=1.0	942.071	942.072	946.089	948.577			
961.646	5.037000000000035	trials	wrdid=4.0	961.687	961.688	964.565	966.682			
970.967	5.923000000000002	trials	wrdid=1.0	971.013	971.014	974.164	976.888			
985.416	5.739999999999895	trials	wrdid=1.0	985.462	985.463	988.78	991.155			
995.671	6.584999999999923	trials	wrdid=4.0	995.711	995.712	999.476	1002.255			
1009.668	6.652000000000044	trials	wrdid=1.0	1009.714	1009.715	1012.876	1016.319			
1022.97	5.692000000000007	trials	wrdid=1.0	1023.014	1023.015	1026.15	1028.661			
1033.912	6.232999999999947	trials	wrdid=4.0	1033.952	1033.953	1036.922	1040.144			
1046.785	6.649999999999864	trials	wrdid=4.0	1046.825	1046.826	1051.322	1053.433			
