onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
225.725	12.304000000000002	trials	gain=1.0	225.744	228.556	235.959	238.028			
246.721	14.618999999999971	trials	gain=1.0	246.742	251.014	258.472	261.339			
267.86	12.161000000000001	trials	gain=1.0	267.877	270.059	277.447	280.02			
290.966	12.60899999999998	trials	gain=1.0	290.984	293.519	300.912	303.574			
308.849	14.341999999999985	trials	gain=1.0	308.867	312.698	320.056	323.19			
331.606	11.826999999999998	trials	gain=1.0	331.624	333.215	340.587	343.432			
351.843	17.34699999999998	trials	gain=1.0	351.863	354.879	362.349	369.189			
375.601	12.310000000000002	trials	gain=1.0	375.62	378.262	385.648	387.91			
393.285	15.495999999999981	trials	gain=1.0	393.303	396.063	403.437	408.78			
414.434	12.37299999999999	trials	gain=1.0	414.452	416.729	424.134	426.806			
433.376	13.01400000000001	trials	gain=1.0	433.395	437.289	444.715	446.389			
452.583	12.265999999999963	trials	gain=1.0	452.602	455.422	462.859	464.848			
469.716	9.120000000000005	trials	gain=2.0	469.733	473.312	477.311	478.835			
485.071	19.93199999999996	trials	gain=0.5	485.09	488.898	503.294	505.002			
515.274	11.746999999999957	trials	gain=1.0	515.292	517.689	525.108	527.02			
532.572	12.213999999999942	trials	gain=1.0	532.59	535.301	542.725	544.785			
549.754	11.723999999999933	trials	gain=1.0	549.773	551.202	558.625	561.477			
570.568	18.926000000000045	trials	gain=0.5	570.586	573.441	587.821	589.493			
599.38	13.178999999999974	trials	gain=1.0	599.402	601.329	608.684	612.558			
618.611	8.402000000000044	trials	gain=2.0	618.631	620.772	624.808	627.012			
633.927	18.122999999999934	trials	gain=0.5	633.945	635.592	649.985	652.049			
656.916	13.94399999999996	trials	gain=1.0	656.934	659.45	666.879	670.859			
677.398	11.76299999999992	trials	gain=1.0	677.43	680.008	687.39	689.16			
695.993	12.247999999999934	trials	gain=1.0	696.011	698.662	706.038	708.24			
718.076	10.127999999999929	trials	gain=2.0	718.093	722.397	726.354	728.203			
734.079	12.026000000000067	trials	gain=1.0	734.098	735.811	743.21	746.104			
750.645	11.302999999999997	trials	gain=1.0	750.681	752.997	760.372	761.947			
769.291	7.724999999999909	trials	gain=2.0	769.31	770.937	774.956	777.015			
782.26	17.426000000000045	trials	gain=0.5	782.278	783.779	798.137	799.685			
805.438	11.388000000000034	trials	gain=1.0	805.456	807.651	815.017	816.825			
822.187	11.81499999999994	trials	gain=1.0	822.205	823.855	831.291	834.001			
839.997	11.06000000000006	trials	gain=1.0	840.015	841.574	849.005	851.056			
857.902	18.303999999999974	trials	gain=0.5	857.92	860.297	874.67	876.205			
884.667	11.201000000000022	trials	gain=1.0	884.685	886.151	893.55	895.867			
901.25	10.932000000000016	trials	gain=2.0	901.268	902.849	906.835	912.181			
919.643	11.627999999999929	trials	gain=1.0	919.661	921.622	928.988	931.27			
937.895	11.91700000000003	trials	gain=1.0	937.915	940.567	947.949	949.811			
955.441	7.451000000000022	trials	gain=2.0	955.46	957.306	961.296	962.891			
967.571	20.769999999999982	trials	gain=0.5	967.59	969.268	983.676	988.34			
994.418	12.033000000000015	trials	gain=1.0	994.437	997.523	1004.89	1006.45			
1014.65	17.850000000000023	trials	gain=0.5	1014.669	1016.14	1030.504	1032.499			
1037.269	13.461999999999989	trials	gain=1.0	1037.286	1039.722	1047.127	1050.73			
1058.858	11.673999999999978	trials	gain=1.0	1058.876	1061.44	1068.798	1070.531			
1079.448	7.87299999999982	trials	gain=2.0	1079.468	1081.263	1085.207	1087.32			
1093.015	12.402999999999793	trials	gain=1.0	1093.035	1096.164	1103.522	1105.417			
1110.953	10.838999999999942	trials	gain=1.0	1110.972	1112.708	1120.066	1121.791			
1130.682	17.885999999999967	trials	gain=0.5	1130.701	1132.217	1146.561	1148.567			
1156.276	13.636999999999944	trials	gain=1.0	1156.297	1159.514	1166.846	1169.912			
1177.472	12.594000000000051	trials	gain=1.0	1177.491	1180.4	1187.789	1190.065			
