onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
236.79	13.155000000000001	trials	same=1.0	236.815	239.76	247.068	249.944			
254.375	10.48599999999999	trials	same=1.0	254.402	255.454	262.784	264.86			
273.406	11.622000000000014	trials	same=1.0	273.432	275.005	282.334	285.027			
292.363	11.699000000000012	trials	same=1.0	292.389	294.16	301.468	304.06			
311.508	12.221000000000004	trials	same=1.0	311.535	313.261	320.551	323.727			
332.641	12.503999999999962	trials	same=1.0	332.666	334.977	342.269	345.144			
351.092	12.604000000000042	trials	same=1.0	351.119	353.91	361.219	363.695			
370.019	14.242999999999995	trials	same=1.0	370.044	373.822	381.135	384.26			
398.475	11.603999999999985	trials	same=1.0	398.503	400.644	407.951	410.078			
415.975	13.019999999999982	trials	same=1.0	416.003	418.572	425.886	428.994			
433.998	10.881000000000029	trials	same=1.0	434.023	435.362	442.668	444.878			
449.997	12.199000000000012	trials	same=1.0	450.022	451.211	458.502	462.195			
471.986	11.427000000000021	trials	same=1.0	472.012	473.372	480.686	483.412			
490.403	10.408999999999992	trials	same=1.0	490.429	491.461	498.736	500.811			
506.97	11.242999999999938	trials	same=1.0	506.996	508.761	516.053	518.211			
525.325	11.737999999999943	trials	same=1.0	525.353	526.605	533.903	537.062			
545.242	13.855000000000018	trials	same=1.0	545.268	548.622	555.936	559.095			
563.781	11.365000000000009	trials	same=1.0	563.807	565.428	572.704	575.145			
583.822	10.857999999999947	trials	same=1.0	583.848	585.228	592.536	594.678			
602.598	11.548000000000002	trials	same=1.0	602.624	604.44	611.736	614.145			
620.986	12.326999999999998	trials	same=1.0	621.012	622.644	629.936	633.312			
641.315	12.24899999999991	trials	same=1.0	641.341	643.945	651.253	653.562			
669.093	11.23700000000008	trials	same=1.0	669.12	670.879	678.187	680.329			
685.312	14.201999999999998	trials	same=1.0	685.339	689.028	696.353	699.513			
707.281	12.249000000000024	trials	same=1.0	707.307	708.912	716.22	719.529			
724.232	11.581999999999994	trials	same=1.0	724.258	725.947	733.254	735.812			
740.97	10.461000000000013	trials	same=1.0	740.996	742.046	749.354	751.429			
756.487	10.843000000000075	trials	same=1.0	756.513	757.862	765.187	767.329			
772.077	14.437000000000012	trials	same=1.0	772.105	775.88	783.187	786.512			
792.365	14.765999999999963	trials	same=1.0	792.392	795.779	803.071	807.129			
813.056	11.857999999999947	trials	same=1.0	813.081	814.212	821.487	824.913			
830.804	11.326999999999998	trials	same=1.0	830.83	832.762	840.054	842.13			
847.773	11.890999999999963	trials	same=1.0	847.799	849.364	856.687	859.663			
866.19	11.073999999999955	trials	same=1.0	866.216	867.508	874.838	877.263			
884.978	12.170000000000073	trials	same=1.0	885.005	887.562	894.854	897.147			
902.681	11.850999999999999	trials	same=1.0	902.707	904.979	912.288	914.53			
920.889	12.658999999999992	trials	same=1.0	920.915	922.846	930.154	933.546			
939.647	10.817999999999984	trials	same=1.0	939.673	940.875	948.171	950.463			
964.654	11.793999999999983	trials	same=1.0	964.68	966.148	973.455	976.447			
980.662	13.469999999999914	trials	same=1.0	980.689	982.631	989.922	994.13			
1007.15	14.231999999999971	trials	same=1.0	1007.176	1010.365	1017.671	1021.38			
1028.256	12.408999999999878	trials	same=1.0	1028.282	1029.707	1037.022	1040.664			
1047.155	15.19399999999996	trials	same=1.0	1047.181	1051.365	1058.672	1062.347			
1072.541	10.475000000000136	trials	same=1.0	1072.567	1073.613	1080.905	1083.014			
1093.375	11.123000000000047	trials	same=1.0	1093.401	1095.132	1102.422	1104.497			
1109.529	12.502999999999929	trials	same=1.0	1109.557	1110.699	1118.039	1122.031			
1127.126	13.588999999999942	trials	same=1.0	1127.152	1129.097	1136.422	1140.714			
1145.701	11.815000000000055	trials	same=1.0	1145.727	1147.148	1154.472	1157.515			
1163.574	11.557999999999993	trials	same=1.0	1163.6	1165.764	1173.072	1175.131			
1180.63	12.334999999999809	trials	same=1.0	1180.657	1183.282	1190.622	1192.964			
1201.229	13.470000000000027	trials	same=1.0	1201.257	1204.248	1211.556	1214.697			
1220.606	12.759999999999991	trials	same=1.0	1220.632	1222.314	1229.589	1233.364			
1243.084	11.064999999999827	trials	same=1.0	1243.11	1244.275	1251.572	1254.148			
