onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
234.935	12.271999999999991	trials	same=1.0	234.96	236.922	244.23	247.206			
256.823	11.65100000000001	trials	same=1.0	256.85	258.249	265.53	268.473			
274.637	11.802999999999997	trials	same=1.0	274.665	276.772	284.049	286.439			
290.964	15.845000000000027	trials	same=1.0	290.993	295.206	302.499	306.808			
313.721	13.269999999999982	trials	same=1.0	313.749	316.216	323.481	326.989			
332.806	12.085000000000036	trials	same=1.0	332.836	335.532	342.848	344.89			
350.449	11.860000000000014	trials	same=1.0	350.476	352.439	359.748	362.307			
368.347	11.927000000000021	trials	same=1.0	368.373	370.639	377.931	380.273			
391.881	11.093000000000018	trials	same=1.0	391.906	393.533	400.815	402.973			
408.508	11.100000000000023	trials	same=1.0	408.534	409.69	416.964	419.607			
425.663	11.229999999999961	trials	same=1.0	425.69	427.589	434.864	436.892			
443.731	11.675999999999988	trials	same=1.0	443.758	445.633	452.932	455.406			
461.02	11.621000000000038	trials	same=1.0	461.045	462.757	470.081	472.64			
477.985	12.70799999999997	trials	same=1.0	478.012	479.439	486.748	490.692			
495.715	12.52800000000002	trials	same=1.0	495.741	498.173	505.5	508.242			
512.788	13.470000000000027	trials	same=1.0	512.816	516.601	523.898	526.257			
531.08	11.060999999999922	trials	same=1.0	531.109	532.501	539.815	542.14			
547.499	12.225999999999999	trials	same=1.0	547.526	549.933	557.233	559.724			
568.833	11.377000000000066	trials	same=1.0	568.859	570.89	578.183	580.209			
585.972	12.504999999999995	trials	same=1.0	586.0	587.751	595.051	598.475			
607.166	14.326999999999998	trials	same=1.0	607.192	611.417	618.716	621.492			
629.52	11.359000000000037	trials	same=1.0	629.546	631.301	638.6	640.878			
652.79	13.552000000000021	trials	same=1.0	652.817	657.002	664.3	666.341			
671.706	12.635999999999967	trials	same=1.0	671.734	674.568	681.884	684.341			
692.105	12.423000000000002	trials	same=1.0	692.134	693.94	701.217	704.526			
708.985	11.374000000000024	trials	same=1.0	709.011	710.568	717.882	720.358			
729.572	12.621999999999957	trials	same=1.0	729.6	730.791	738.121	742.193			
748.949	11.193000000000097	trials	same=1.0	748.975	750.324	757.617	760.141			
767.415	14.261000000000081	trials	same=1.0	767.441	771.341	778.65	781.675			
786.748	11.711999999999989	trials	same=1.0	786.775	788.908	796.218	798.458			
805.732	11.511000000000081	trials	same=1.0	805.759	807.419	814.685	817.242			
824.067	13.625	trials	same=1.0	824.093	827.658	834.95	837.691			
842.067	11.177999999999997	trials	same=1.0	842.094	843.135	850.45	853.244			
858.273	11.70399999999995	trials	same=1.0	858.301	860.56	867.851	869.975			
876.165	12.262000000000057	trials	same=1.0	876.191	877.435	884.75	888.426			
892.765	10.663000000000011	trials	same=1.0	892.791	894.108	901.401	903.427			
908.925	11.370000000000005	trials	same=1.0	908.951	910.374	917.65	920.294			
926.757	12.655000000000086	trials	same=1.0	926.784	928.802	936.1	939.411			
944.658	10.668000000000006	trials	same=1.0	944.686	945.725	953.035	955.325			
959.524	12.469000000000051	trials	same=1.0	959.553	961.292	968.584	971.992			
