onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
231.891	12.099000000000018	trials	gain=1.0	231.923	233.049	240.346	243.988			
251.48	11.775999999999982	trials	gain=1.0	251.515	253.255	260.579	263.255			
270.954	10.767999999999972	trials	gain=1.0	270.981	272.871	280.171	281.721			
287.012	11.646000000000015	trials	gain=1.0	287.038	288.872	296.203	298.657			
310.004	14.101999999999975	trials	gain=1.0	310.052	313.389	320.699	324.105			
330.922	13.144999999999982	trials	gain=1.0	330.948	335.149	342.479	344.066			
354.054	11.785000000000025	trials	gain=1.0	354.08	355.905	363.212	365.838			
371.616	11.307000000000016	trials	gain=1.0	371.642	373.422	380.746	382.922			
388.246	20.329000000000008	trials	gain=0.5	388.272	392.138	406.68	408.573			
417.641	11.899000000000001	trials	gain=1.0	417.667	420.433	427.729	429.539			
435.92	13.002999999999986	trials	gain=1.0	435.945	439.1	446.406	448.922			
457.814	8.45999999999998	trials	gain=2.0	457.84	460.799	464.496	466.272			
474.674	11.165999999999997	trials	gain=1.0	474.7	476.916	484.247	485.838			
491.258	20.11700000000002	trials	gain=0.5	491.284	494.522	509.063	511.373			
519.029	13.727999999999952	trials	gain=1.0	519.055	523.355	530.68	532.756			
541.158	11.615999999999985	trials	gain=1.0	541.188	543.766	551.08	552.773			
559.475	11.731999999999971	trials	gain=1.0	559.501	561.383	568.713	571.206			
577.188	8.686000000000035	trials	gain=2.0	577.214	578.75	582.447	585.873			
593.199	15.259000000000015	trials	gain=1.0	593.225	597.367	604.697	608.456			
613.779	7.2450000000000045	trials	gain=2.0	613.807	615.667	619.363	621.023			
628.571	13.146999999999935	trials	gain=1.0	628.598	629.917	637.23	641.717			
649.075	10.824999999999932	trials	gain=1.0	649.1	650.567	657.88	659.898			
665.177	19.130999999999972	trials	gain=0.5	665.203	667.807	682.348	684.307			
689.164	10.56000000000006	trials	gain=1.0	689.19	690.756	698.081	699.723			
713.675	11.133000000000038	trials	gain=1.0	713.7	715.866	723.181	724.807			
