onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
235.937	13.560000000000002	trials	same=1.0	235.963	238.478	245.786	249.496			
257.219	11.576999999999998	trials	same=1.0	257.246	258.794	266.118	268.795			
273.06	11.685999999999979	trials	same=1.0	273.088	274.244	281.553	284.745			
289.453	13.02600000000001	trials	same=1.0	289.479	293.044	300.336	302.478			
306.618	13.526999999999987	trials	same=1.0	306.645	309.144	316.434	320.144			
328.261	12.75	trials	same=1.0	328.289	331.109	338.402	341.01			
348.101	10.776999999999987	trials	same=1.0	348.128	349.237	356.535	358.876			
363.484	12.410000000000025	trials	same=1.0	363.511	365.359	372.685	375.893			
380.891	11.418000000000006	trials	same=1.0	380.919	382.408	389.715	392.308			
407.305	12.971000000000004	trials	same=1.0	407.351	408.841	416.131	420.275			
427.598	13.176999999999964	trials	same=1.0	427.626	429.04	436.348	440.774			
445.271	11.370999999999981	trials	same=1.0	445.299	446.59	453.916	456.64			
461.799	13.375	trials	same=1.0	461.827	463.439	470.732	475.173			
482.354	12.086999999999989	trials	same=1.0	482.382	485.056	492.348	494.44			
501.0	14.557000000000016	trials	same=1.0	501.027	505.323	512.629	515.555			
523.799	11.591000000000008	trials	same=1.0	523.827	525.605	532.897	535.388			
543.604	11.418000000000006	trials	same=1.0	543.633	545.205	552.513	555.021			
560.83	11.858999999999924	trials	same=1.0	560.857	561.921	569.214	572.687			
578.803	11.869000000000028	trials	same=1.0	578.831	580.837	588.144	590.67			
601.345	12.326999999999998	trials	same=1.0	601.373	603.02	610.327	613.671			
619.55	11.905000000000086	trials	same=1.0	619.578	621.836	629.145	631.453			
635.543	11.076999999999998	trials	same=1.0	635.571	637.136	644.443	646.619			
651.602	11.201000000000022	trials	same=1.0	651.63	652.952	660.244	662.802			
667.335	11.034999999999968	trials	same=1.0	667.362	668.985	676.293	678.368			
684.486	11.533000000000015	trials	same=1.0	684.513	686.168	693.458	696.018			
703.807	10.761999999999944	trials	same=1.0	703.835	705.035	712.425	714.568			
721.548	11.236999999999966	trials	same=1.0	721.576	723.318	730.626	732.784			
739.711	11.139999999999986	trials	same=1.0	739.738	740.967	748.274	750.85			
756.286	12.248000000000047	trials	same=1.0	756.314	758.817	766.107	768.533			
773.562	11.688999999999965	trials	same=1.0	773.591	774.832	782.173	785.25			
789.705	12.194999999999936	trials	same=1.0	789.732	791.415	798.724	801.899			
815.957	12.775999999999954	trials	same=1.0	815.985	818.932	826.24	828.731			
835.421	12.060999999999922	trials	same=1.0	835.449	836.598	843.921	847.481			
852.689	10.843000000000075	trials	same=1.0	852.717	853.798	861.107	863.531			
870.997	10.835000000000036	trials	same=1.0	871.024	872.147	879.456	881.83			
888.281	14.517000000000053	trials	same=1.0	888.309	890.963	898.289	902.796			
907.59	12.841000000000008	trials	same=1.0	907.617	908.68	915.972	920.429			
924.706	12.624000000000024	trials	same=1.0	924.733	926.263	933.569	937.329			
946.339	12.606999999999971	trials	same=1.0	946.365	949.595	956.887	958.945			
967.455	12.274999999999977	trials	same=1.0	967.482	969.462	976.785	979.729			
983.982	12.34699999999998	trials	same=1.0	984.009	986.844	994.153	996.328			
1008.508	11.586999999999989	trials	same=1.0	1008.536	1009.727	1017.053	1020.094			
1024.475	12.554000000000087	trials	same=1.0	1024.504	1026.843	1034.153	1037.027			
1042.4	12.52800000000002	trials	same=1.0	1042.428	1043.693	1050.985	1054.927			
1059.726	12.101999999999862	trials	same=1.0	1059.754	1062.338	1069.649	1071.827			
1079.329	14.43100000000004	trials	same=1.0	1079.356	1083.275	1090.565	1093.759			
1099.991	12.386999999999944	trials	same=1.0	1100.019	1101.142	1108.449	1112.377			
