onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
252.638	11.054999999999978	trials	ytpst=1000.0 scnpz=1000.0	252.666	254.341	261.651	263.692			
270.987	12.771999999999991	trials	ytpst=1000.0 scnpz=1000.0	271.017	274.275	281.583	283.758			
293.248	10.927000000000021	trials	ytpst=1000.0 scnpz=1000.0	293.276	294.507	301.8	304.174			
312.625	13.249000000000024	trials	ytpst=1000.0 scnpz=1000.0	312.674	314.34	321.615	325.873			
330.18	12.093999999999994	trials	ytpst=1000.0 scnpz=1000.0	330.207	331.923	339.215	342.273			
346.445	12.295000000000016	trials	ytpst=1000.0 scnpz=1000.0	346.472	348.723	356.046	358.739			
365.512	11.894000000000005	trials	ytpst=1000.0 scnpz=1000.0	365.539	366.889	374.196	377.405			
386.923	14.382999999999981	trials	ytpst=1000.0 scnpz=1000.0	386.95	391.421	398.712	401.304			
409.573	11.535000000000025	trials	ytpst=1000.0 scnpz=1000.0	409.599	411.204	418.513	421.107			
427.455	12.783999999999992	trials	ytpst=65.0 scnpz=1000.0	427.482	431.02	437.977	440.238	436.054		
447.136	11.202999999999975	trials	ytpst=40.0 scnpz=1000.0	447.164	448.887	453.877	458.337	451.987		
462.535	10.851999999999975	trials	ytpst=1000.0 scnpz=1000.0	462.564	463.903	471.212	473.386			
478.752	17.68599999999998	trials	ytpst=1000.0 scnpz=70.0	478.78	480.869	493.211	496.436		486.287	491.303
500.926	11.37700000000001	trials	ytpst=1000.0 scnpz=1000.0	500.953	502.819	510.142	512.302			
517.097	12.038999999999987	trials	ytpst=1000.0 scnpz=1000.0	517.125	519.185	526.478	529.135			
534.33	11.605999999999995	trials	ytpst=1000.0 scnpz=1000.0	534.357	536.118	543.413	545.935			
553.452	14.850999999999999	trials	ytpst=65.0 scnpz=1000.0	553.479	557.301	564.342	568.302	562.351		
574.769	10.16599999999994	trials	ytpst=40.0 scnpz=1000.0	574.795	576.984	581.992	584.933	580.084		
589.857	13.777000000000044	trials	ytpst=1000.0 scnpz=1000.0	589.884	592.3	599.592	603.633			
608.382	16.603000000000065	trials	ytpst=1000.0 scnpz=70.0	608.41	609.633	621.942	624.983		615.05	620.05
629.863	12.853999999999928	trials	ytpst=1000.0 scnpz=1000.0	629.892	631.432	638.741	642.716			
651.963	13.304000000000087	trials	ytpst=1000.0 scnpz=1000.0	651.991	654.115	661.422	665.266			
674.709	10.857000000000085	trials	ytpst=1000.0 scnpz=1000.0	674.736	676.148	683.439	685.565			
691.297	12.31899999999996	trials	ytpst=1000.0 scnpz=1000.0	691.324	693.514	700.807	703.615			
709.937	8.894999999999982	trials	ytpst=40.0 scnpz=1000.0	709.964	711.73	716.72	718.831	714.83		
729.174	11.45799999999997	trials	ytpst=65.0 scnpz=1000.0	729.201	731.413	738.387	740.63	736.447		
744.888	10.677000000000021	trials	ytpst=1000.0 scnpz=1000.0	744.915	746.13	753.453	755.564			
761.19	11.29099999999994	trials	ytpst=1000.0 scnpz=1000.0	761.217	762.479	769.788	772.48			
779.159	17.12099999999998	trials	ytpst=1000.0 scnpz=70.0	779.187	780.446	792.738	796.279		785.846	790.847
801.285	13.161000000000058	trials	ytpst=65.0 scnpz=1000.0	801.316	805.211	812.188	814.445	810.246		
822.448	11.898000000000025	trials	ytpst=1000.0 scnpz=1000.0	822.475	824.911	832.204	834.345			
839.26	12.168999999999983	trials	ytpst=40.0 scnpz=1000.0	839.288	841.994	847.003	851.428	845.095		
857.474	18.636999999999944	trials	ytpst=1000.0 scnpz=70.0	857.502	860.177	872.519	876.11		865.595	870.628
880.514	11.51400000000001	trials	ytpst=1000.0 scnpz=1000.0	880.542	882.027	889.317	892.027			
896.801	14.409999999999968	trials	ytpst=1000.0 scnpz=1000.0	896.828	899.443	906.75	911.21			
916.549	12.327999999999975	trials	ytpst=1000.0 scnpz=1000.0	916.576	918.409	925.699	928.876			
935.586	11.124000000000024	trials	ytpst=65.0 scnpz=1000.0	935.614	937.226	944.183	946.709	942.242		
952.912	17.046999999999912	trials	ytpst=1000.0 scnpz=70.0	952.939	954.625	966.951	969.958		960.026	965.059
974.25	11.208999999999946	trials	ytpst=1000.0 scnpz=1000.0	974.302	975.791	983.114	985.458			
991.907	12.150999999999954	trials	ytpst=1000.0 scnpz=1000.0	991.935	993.524	1000.816	1004.057			
1011.48	13.127999999999929	trials	ytpst=1000.0 scnpz=1000.0	1011.507	1014.824	1022.147	1024.607			
1032.327	11.997000000000071	trials	ytpst=40.0 scnpz=1000.0	1032.355	1036.123	1041.146	1044.323	1039.24		
1052.783	12.990999999999985	trials	ytpst=1000.0 scnpz=1000.0	1052.81	1055.456	1062.78	1065.773			
1073.124	10.633000000000038	trials	ytpst=1000.0 scnpz=1000.0	1073.151	1074.289	1081.596	1083.756			
1090.265	12.59199999999987	trials	ytpst=40.0 scnpz=1000.0	1090.292	1094.338	1099.363	1102.855	1097.455		
1107.449	11.472999999999956	trials	ytpst=1000.0 scnpz=1000.0	1107.476	1108.905	1116.213	1118.921			
1126.429	12.209999999999809	trials	ytpst=65.0 scnpz=1000.0	1126.456	1128.687	1135.661	1138.638	1133.704		
1143.353	10.9849999999999	trials	ytpst=1000.0 scnpz=1000.0	1143.381	1144.52	1151.827	1154.337			
