session_id	original_session_id
ses-SU+VR+ALL+OL+61	ses-SU_VR_ALL_OL_61
ses-SU+VR+ALL+OL+62	ses-SU_VR_ALL_OL_62
ses-SU+VR+ALL+OL+63	ses-SU_VR_ALL_OL_63
ses-SU+VR+ALL+OL+64	ses-SU_VR_ALL_OL_64
ses-SU+VR+ALL+OL+65	ses-SU_VR_ALL_OL_65
ses-SU+VR+ALL+OL+66	ses-SU_VR_ALL_OL_66
ses-SU+VR+ALL+OL+67	ses-SU_VR_ALL_OL_67
ses-SU+VR+ALL+OL+68	ses-SU_VR_ALL_OL_68
ses-SU+VR+ALL+OL+69	ses-SU_VR_ALL_OL_69
ses-SU+VR+ALL+OL+70	ses-SU_VR_ALL_OL_70
ses-SU+VR+ALL+OL+71	ses-SU_VR_ALL_OL_71
ses-SU+VR+ALL+OL+72	ses-SU_VR_ALL_OL_72
ses-SU+VR+ALL+OL+73	ses-SU_VR_ALL_OL_73
ses-SU+VR+ALL+OL+74	ses-SU_VR_ALL_OL_74
ses-SU+VR+ALL+OL+75	ses-SU_VR_ALL_OL_75
ses-SU+VR+ALL+OL+76	ses-SU_VR_ALL_OL_76
ses-SU+VR+ALL+OL+77	ses-SU_VR_ALL_OL_77
ses-SU+VR+ALL+OL+78	ses-SU_VR_ALL_OL_78
ses-SU+VR+ALL+SPD+61	ses-SU_VR_ALL_SPD_61
ses-SU+VR+ALL+SPD+62	ses-SU_VR_ALL_SPD_62
ses-SU+VR+ALL+SPD+63	ses-SU_VR_ALL_SPD_63
ses-SU+VR+ALL+SPD+64	ses-SU_VR_ALL_SPD_64
ses-SU+VR+ALL+SPD+65	ses-SU_VR_ALL_SPD_65
ses-SU+VR+ALL+SPD+66	ses-SU_VR_ALL_SPD_66
ses-SU+VR+ALL+SPD+67	ses-SU_VR_ALL_SPD_67
ses-SU+VR+ALL+SPD+68	ses-SU_VR_ALL_SPD_68
ses-SU+VR+ALL+SPD+69	ses-SU_VR_ALL_SPD_69
ses-SU+VR+ALL+SPD+70	ses-SU_VR_ALL_SPD_70
ses-SU+VR+ALL+SPD+71	ses-SU_VR_ALL_SPD_71
ses-SU+VR+ALL+SPD+72	ses-SU_VR_ALL_SPD_72
ses-SU+VR+ALL+SPD+73	ses-SU_VR_ALL_SPD_73
ses-SU+VR+ALL+SPD+74	ses-SU_VR_ALL_SPD_74
ses-SU+VR+ALL+SPD+75	ses-SU_VR_ALL_SPD_75
ses-SU+VR+ALL+SPD+76	ses-SU_VR_ALL_SPD_76
ses-SU+VR+ALL+SPD+77	ses-SU_VR_ALL_SPD_77
ses-SU+VR+ALL+SPD+78	ses-SU_VR_ALL_SPD_78
ses-SU+VR+ALL+TP+61	ses-SU_VR_ALL_TP_61
ses-SU+VR+ALL+TP+62	ses-SU_VR_ALL_TP_62
ses-SU+VR+ALL+TP+63	ses-SU_VR_ALL_TP_63
ses-SU+VR+ALL+TP+64	ses-SU_VR_ALL_TP_64
ses-SU+VR+ALL+TP+65	ses-SU_VR_ALL_TP_65
ses-SU+VR+ALL+TP+66	ses-SU_VR_ALL_TP_66
ses-SU+VR+ALL+TP+67	ses-SU_VR_ALL_TP_67
ses-SU+VR+ALL+TP+68	ses-SU_VR_ALL_TP_68
ses-SU+VR+ALL+TP+69	ses-SU_VR_ALL_TP_69
ses-SU+VR+ALL+TP+70	ses-SU_VR_ALL_TP_70
ses-SU+VR+ALL+TP+71	ses-SU_VR_ALL_TP_71
ses-SU+VR+ALL+TP+72	ses-SU_VR_ALL_TP_72
ses-SU+VR+ALL+TP+73	ses-SU_VR_ALL_TP_73
ses-SU+VR+ALL+TP+74	ses-SU_VR_ALL_TP_74
ses-SU+VR+ALL+TP+75	ses-SU_VR_ALL_TP_75
ses-SU+VR+ALL+TP+76	ses-SU_VR_ALL_TP_76
ses-SU+VR+ALL+TP+77	ses-SU_VR_ALL_TP_77
ses-SU+VR+ALL+TP+78	ses-SU_VR_ALL_TP_78
ses-SU+VR+OL+100	ses-SU_VR_OL_100
ses-SU+VR+OL+101	ses-SU_VR_OL_101
ses-SU+VR+OL+102	ses-SU_VR_OL_102
ses-SU+VR+OL+79	ses-SU_VR_OL_79
ses-SU+VR+OL+80	ses-SU_VR_OL_80
ses-SU+VR+OL+81	ses-SU_VR_OL_81
ses-SU+VR+OL+82	ses-SU_VR_OL_82
ses-SU+VR+OL+83	ses-SU_VR_OL_83
ses-SU+VR+OL+84	ses-SU_VR_OL_84
ses-SU+VR+OL+85	ses-SU_VR_OL_85
ses-SU+VR+OL+86	ses-SU_VR_OL_86
ses-SU+VR+OL+87	ses-SU_VR_OL_87
ses-SU+VR+OL+88	ses-SU_VR_OL_88
ses-SU+VR+OL+89	ses-SU_VR_OL_89
ses-SU+VR+OL+90	ses-SU_VR_OL_90
ses-SU+VR+OL+91	ses-SU_VR_OL_91
ses-SU+VR+OL+92	ses-SU_VR_OL_92
ses-SU+VR+OL+93	ses-SU_VR_OL_93
ses-SU+VR+OL+94	ses-SU_VR_OL_94
ses-SU+VR+OL+95	ses-SU_VR_OL_95
ses-SU+VR+OL+96	ses-SU_VR_OL_96
ses-SU+VR+OL+97	ses-SU_VR_OL_97
ses-SU+VR+OL+98	ses-SU_VR_OL_98
ses-SU+VR+OL+99	ses-SU_VR_OL_99
