participant_id	original_participant_id	species
sub-108	sub-108	Mus musculus
sub-110	sub-110	Mus musculus
sub-112	sub-112	Mus musculus
sub-123	sub-123	Mus musculus
sub-124	sub-124	Mus musculus
sub-127	sub-127	Mus musculus
sub-128	sub-128	Mus musculus
sub-132	sub-132	Mus musculus
sub-133	sub-133	Mus musculus
sub-134	sub-134	Mus musculus
sub-137	sub-137	Mus musculus
sub-139	sub-139	Mus musculus
sub-140	sub-140	Mus musculus
sub-143	sub-143	Mus musculus
sub-146	sub-146	Mus musculus
sub-159	sub-159	Mus musculus
sub-209	sub-209	Mus musculus
sub-210	sub-210	Mus musculus
sub-211	sub-211	Mus musculus
sub-213	sub-213	Mus musculus
sub-214	sub-214	Mus musculus
sub-215	sub-215	Mus musculus
sub-217	sub-217	Mus musculus
sub-218	sub-218	Mus musculus
sub-219	sub-219	Mus musculus
sub-241	sub-241	Mus musculus
sub-243	sub-243	Mus musculus
sub-244	sub-244	Mus musculus
sub-245	sub-245	Mus musculus
sub-249	sub-249	Mus musculus
sub-253	sub-253	Mus musculus
sub-269	sub-269	Mus musculus
sub-271	sub-271	Mus musculus
sub-272	sub-272	Mus musculus
sub-273	sub-273	Mus musculus
sub-276	sub-276	Mus musculus
sub-277	sub-277	Mus musculus
sub-278	sub-278	Mus musculus
sub-280	sub-280	Mus musculus
sub-282	sub-282	Mus musculus
sub-283	sub-283	Mus musculus
sub-288	sub-288	Mus musculus
sub-3014	sub-3014	Mus musculus
sub-3015	sub-3015	Mus musculus
sub-3017	sub-3017	Mus musculus
sub-3021	sub-3021	Mus musculus
sub-3044	sub-3044	Mus musculus
sub-3045	sub-3045	Mus musculus
sub-3047	sub-3047	Mus musculus
sub-3048	sub-3048	Mus musculus
sub-3053	sub-3053	Mus musculus
sub-3054	sub-3054	Mus musculus
sub-81	sub-81	Mus musculus
