onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
8.3	13.015	trials	ytpst=1000.0	8.324	10.039	19.121	21.313			
31.738	13.393999999999998	trials	ytpst=1000.0	31.764	34.251	43.357	45.131			
50.615	13.305	trials	ytpst=1000.0	50.641	53.241	62.325	63.919			
72.103	12.399000000000001	trials	ytpst=1000.0	72.129	73.875	82.938	84.501			
94.441	13.411999999999992	trials	ytpst=1000.0	94.465	96.439	105.541	107.852			
114.309	13.540000000000006	trials	ytpst=1000.0	114.335	115.686	124.775	127.848			
138.877	13.038999999999987	trials	ytpst=1000.0	138.902	140.142	149.239	151.915			
158.708	13.959000000000003	trials	ytpst=1000.0	158.734	160.66	169.756	172.665			
181.16	13.257000000000005	trials	ytpst=1000.0	181.186	182.294	191.393	194.416			
200.082	13.03400000000002	trials	ytpst=1000.0	200.109	202.304	211.393	213.115			
223.944	14.794000000000011	trials	ytpst=1000.0	223.97	227.927	237.04	238.736			
246.595	12.438999999999993	trials	ytpst=1000.0	246.62	248.139	257.273	259.033			
265.122	14.5	trials	ytpst=1000.0	265.148	268.189	277.29	279.62			
284.651	13.235000000000014	trials	ytpst=1000.0	284.676	287.189	296.301	297.885			
303.061	9.894000000000005	trials	ytpst=25.0	303.084	305.139	311.39	312.954	307.575		
319.701	14.282999999999959	trials	ytpst=1000.0	319.736	322.99	332.085	333.983			
339.374	9.048000000000002	trials	ytpst=45.0	339.4	340.573	346.778	348.421	344.909		
358.129	13.043000000000006	trials	ytpst=1000.0	358.155	359.373	368.474	371.171			
376.609	11.143000000000029	trials	ytpst=5.0	376.635	377.774	384.008	387.751	378.302		
395.86	13.253999999999962	trials	ytpst=1000.0	395.886	397.713	406.811	409.112			
414.976	13.393000000000029	trials	ytpst=1000.0	415.002	417.06	426.158	428.368			
433.391	12.894999999999982	trials	ytpst=1000.0	433.416	435.407	444.508	446.285			
453.946	9.22399999999999	trials	ytpst=45.0	453.972	455.214	461.442	463.169	459.578		
468.27	13.150000000000034	trials	ytpst=1000.0	468.295	469.981	479.092	481.419			
487.586	10.966999999999985	trials	ytpst=25.0	487.612	489.392	495.626	498.552	491.819		
508.552	12.434999999999945	trials	ytpst=1000.0	508.578	509.776	518.863	520.986			
527.137	15.194000000000074	trials	ytpst=1000.0	527.163	530.3	539.393	542.33			
548.678	12.163000000000011	trials	ytpst=5.0	548.704	551.216	557.426	560.84	551.754		
571.559	10.229000000000042	trials	ytpst=45.0	571.585	573.666	579.88	581.787	578.012		
