onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
10.073	8.317999999999998	trials	ztp=106.0	10.09	10.574	16.781	18.39			
38.389	8.418	trials	ztp=106.0	38.407	38.89	45.114	46.806			
58.34	8.650999999999996	trials	ztp=106.0	58.357	58.841	65.048	66.989			
82.741	11.100999999999999	trials	ztp=106.0	82.758	83.241	89.448	93.841			
102.807	9.350999999999999	trials	ztp=106.0	102.824	103.308	109.515	112.157			
124.041	8.967000000000013	trials	ztp=106.0	124.058	124.542	130.765	133.007			
154.191	9.518	trials	ztp=106.0	154.209	154.692	160.899	163.708			
171.908	9.118000000000023	trials	ztp=106.0	171.925	172.409	178.616	181.025			
194.308	8.384000000000015	trials	ztp=106.0	194.325	194.809	201.029	202.691			
209.225	8.533999999999992	trials	ztp=106.0	209.242	209.726	215.933	217.758			
226.992	9.75200000000001	trials	ztp=106.0	227.01	227.493	233.7	236.742			
242.442	7.317999999999984	trials	ztp=3.9	242.459	242.943	247.484	249.759	245.726		
255.476	8.250999999999976	trials	ztp=106.0	255.493	255.976	262.184	263.725			
273.976	8.98399999999998	trials	ztp=106.0	273.993	274.477	280.683	282.959			
289.642	8.384999999999991	trials	ztp=0.5	289.659	290.144	294.684	298.025	290.092		
305.443	9.201000000000022	trials	ztp=106.0	305.46	305.944	312.151	314.643			
326.626	10.219000000000051	trials	ztp=106.0	326.644	327.127	333.351	336.843			
343.543	8.867999999999995	trials	ztp=2.2	343.56	344.044	348.585	352.41	345.41		
362.276	8.718000000000018	trials	ztp=3.9	362.294	362.778	367.318	370.993	365.56		
377.544	8.785000000000025	trials	ztp=106.0	377.561	378.044	384.251	386.327			
393.611	7.1510000000000105	trials	ztp=0.5	393.628	394.112	398.652	400.761	394.061		
406.311	8.434000000000026	trials	ztp=106.0	406.328	406.812	413.018	414.744			
421.244	10.783999999999992	trials	ztp=106.0	421.261	421.745	427.952	432.027			
443.627	7.569000000000017	trials	ztp=2.2	443.644	444.129	448.669	451.195	445.494		
460.778	8.435000000000002	trials	ztp=106.0	460.795	461.279	467.502	469.212			
480.861	8.418000000000006	trials	ztp=106.0	480.879	481.362	487.569	489.278			
496.312	7.283999999999992	trials	ztp=0.5	496.329	496.813	501.353	503.595	496.762		
512.945	8.517999999999915	trials	ztp=106.0	512.962	513.446	519.653	521.461			
529.346	10.933999999999969	trials	ztp=106.0	529.363	529.846	536.053	540.279			
552.562	8.518000000000029	trials	ztp=106.0	552.58	553.063	559.279	561.079			
567.012	8.735000000000014	trials	ztp=106.0	567.03	567.513	573.72	575.746			
581.412	9.751999999999953	trials	ztp=106.0	581.429	581.914	588.121	591.162			
600.113	6.917999999999893	trials	ztp=2.2	600.13	600.614	605.154	607.03	601.98		
613.668	7.212999999999965	trials	ztp=3.9	613.681	614.169	618.704	620.88	616.947		
