onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
12.509	8.384999999999998	trials	ztp=106.0	12.526	13.01	19.217	20.893			
31.793	9.984000000000002	trials	ztp=106.0	31.81	32.293	38.5	41.776			
47.643	8.451	trials	ztp=106.0	47.66	48.144	54.351	56.093			
69.01	8.850999999999999	trials	ztp=106.0	69.027	69.511	75.718	77.859			
83.526	10.286000000000001	trials	ztp=106.0	83.543	84.027	90.24	93.811			
108.01	9.134999999999991	trials	ztp=106.0	108.028	108.511	114.718	117.144			
122.611	8.516999999999982	trials	ztp=106.0	122.628	123.111	129.335	131.127			
137.944	8.484000000000009	trials	ztp=106.0	137.961	138.445	144.652	146.427			
152.094	8.867999999999995	trials	ztp=106.0	152.111	152.595	158.851	160.96			
170.712	8.850999999999999	trials	ztp=106.0	170.729	171.212	177.418	179.561			
189.828	8.617999999999995	trials	ztp=106.0	189.845	190.329	196.537	198.445			
206.028	14.284999999999997	trials	ztp=5.5	206.045	206.529	217.719	220.312	215.629	210.628	215.628
230.661	6.951999999999998	trials	ztp=3.5	230.679	231.162	235.702	237.611	233.612		
244.695	8.701999999999998	trials	ztp=106.0	244.712	245.196	251.403	253.396			
267.612	9.08499999999998	trials	ztp=106.0	267.63	268.113	274.319	276.696			
284.612	10.267999999999972	trials	ztp=106.0	284.629	285.113	291.32	294.879			
300.796	8.48399999999998	trials	ztp=106.0	300.813	301.297	307.504	309.279			
315.812	9.652999999999963	trials	ztp=5.2	315.829	316.314	322.287	325.463	320.196		
334.447	10.867999999999995	trials	ztp=106.0	334.464	334.947	341.154	345.313			
352.897	7.16700000000003	trials	ztp=3.5	352.914	353.397	357.938	360.063	355.847		
366.563	8.485000000000014	trials	ztp=5.2	366.588	367.078	373.022	375.047	370.93		
383.563	8.25200000000001	trials	ztp=106.0	383.581	384.064	390.272	391.813			
397.613	9.435999999999979	trials	ztp=106.0	397.63	398.115	404.321	407.048			
423.781	10.600999999999999	trials	ztp=106.0	423.798	424.282	430.489	434.381			
441.948	10.350999999999999	trials	ztp=106.0	441.965	442.449	448.656	452.298			
465.281	14.25	trials	ztp=5.5	465.298	465.782	476.987	479.529	474.882	469.881	474.881
486.099	7.001000000000033	trials	ztp=3.5	486.116	486.599	491.156	493.099	489.049		
501.215	8.06800000000004	trials	ztp=5.2	501.232	501.716	507.673	509.282	505.582		
515.732	8.317999999999984	trials	ztp=106.0	515.749	516.233	522.44	524.048			
532.698	9.718000000000075	trials	ztp=106.0	532.716	533.199	539.406	542.415			
551.565	13.935999999999922	trials	ztp=5.5	551.582	552.066	563.291	565.499	561.184	556.183	561.183
570.866	8.534999999999968	trials	ztp=106.0	570.883	571.367	577.574	579.399			
586.333	9.368000000000052	trials	ztp=106.0	586.35	586.833	593.04	595.699			
605.683	10.384000000000015	trials	ztp=106.0	605.7	606.184	612.39	616.066			
641.768	12.097999999999956	trials	ztp=5.2	641.784	642.268	649.925	653.865	647.234		
659.4	10.076999999999998	trials	ztp=106.0	659.418	659.901	667.831	669.469			
676.167	8.267999999999915	trials	ztp=106.0	676.184	676.668	682.875	684.434			
690.267	14.200999999999908	trials	ztp=5.5	690.284	690.768	701.959	704.467	699.868	694.867	699.867
710.785	9.600999999999999	trials	ztp=106.0	710.802	711.285	717.492	720.385			
728.733	9.969000000000051	trials	ztp=106.0	728.75	729.233	735.442	738.701			
754.801	7.067999999999984	trials	ztp=3.5	754.819	755.302	759.859	761.868	757.768		
769.251	9.451000000000022	trials	ztp=106.0	769.268	769.753	775.959	778.701			
785.236	10.317000000000007	trials	ztp=106.0	785.253	785.736	791.943	795.552			
803.969	8.650999999999954	trials	ztp=106.0	803.986	804.469	810.677	812.619			
820.202	10.235000000000014	trials	ztp=106.0	820.219	820.703	826.91	830.435			
836.369	7.067999999999984	trials	ztp=3.5	836.386	836.87	841.41	843.435	839.319		
848.902	10.231999999999971	trials	ztp=106.0	848.919	849.403	855.624	859.133			
871.536	16.285000000000082	trials	ztp=5.5	871.554	872.037	883.245	887.82	881.138	876.137	881.137
901.553	8.368000000000052	trials	ztp=106.0	901.57	902.054	908.261	909.92			
922.12	8.018000000000029	trials	ztp=5.2	922.137	922.621	928.578	930.136	926.487		
936.597	13.258000000000038	trials	ztp=5.5	936.606	937.098	948.295	949.854	946.189	941.188	946.188
961.337	8.601999999999975	trials	ztp=106.0	961.355	961.838	968.045	969.937			
976.904	9.717999999999961	trials	ztp=106.0	976.921	977.405	983.612	986.621			
993.204	7.135000000000105	trials	ztp=3.5	993.221	993.705	998.246	1000.337	996.154		
