onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
6.492	11.489	trials	ytpst=1000.0 scnpz=1000.0	6.518	8.165	15.45	17.98			
27.059	12.001000000000001	trials	ytpst=1000.0 scnpz=1000.0	27.086	29.995	37.301	39.059			
46.897	10.931000000000004	trials	ytpst=1000.0 scnpz=1000.0	46.923	48.201	55.501	57.827			
63.556	14.00500000000001	trials	ytpst=1000.0 scnpz=1000.0	63.586	65.985	73.268	77.56			
82.907	11.854	trials	ytpst=1000.0 scnpz=1000.0	82.935	84.729	92.018	94.76			
100.297	10.347999999999999	trials	ytpst=1000.0 scnpz=1000.0	100.323	101.502	108.754	110.644			
116.236	10.025999999999996	trials	ytpst=1000.0 scnpz=1000.0	116.262	117.429	124.718	126.261			
135.853	10.641999999999996	trials	ytpst=1000.0 scnpz=1000.0	135.879	137.553	144.818	146.494			
152.619	10.693999999999988	trials	ytpst=1000.0 scnpz=1000.0	152.646	154.103	161.4	163.312			
172.307	13.088999999999999	trials	ytpst=1000.0 scnpz=1000.0	172.333	174.437	181.729	185.395			
191.988	10.75800000000001	trials	ytpst=1000.0 scnpz=1000.0	192.022	193.481	200.747	202.745			
212.071	13.162000000000006	trials	ytpst=1000.0 scnpz=1000.0	212.109	215.43	222.739	225.232			
233.52	17.20999999999998	trials	ytpst=1000.0 scnpz=70.0	233.547	235.254	247.536	250.729		240.656	245.662
261.445	10.802000000000021	trials	ytpst=1000.0 scnpz=1000.0	261.472	263.331	270.62	272.245			
281.489	11.092000000000041	trials	ytpst=65.0 scnpz=1000.0	281.516	283.605	290.57	292.58	288.63		
303.822	9.308999999999969	trials	ytpst=40.0 scnpz=1000.0	303.848	306.288	311.287	313.13	309.38		
324.146	10.185999999999979	trials	ytpst=1000.0 scnpz=1000.0	324.184	325.222	332.537	334.33			
342.243	11.189000000000021	trials	ytpst=1000.0 scnpz=1000.0	342.268	344.232	351.504	353.43			
358.488	17.476999999999975	trials	ytpst=1000.0 scnpz=70.0	358.515	360.632	372.938	375.964		366.041	371.047
383.923	11.559000000000026	trials	ytpst=1000.0 scnpz=1000.0	383.948	386.017	393.288	395.481			
405.124	10.907999999999959	trials	ytpst=1000.0 scnpz=1000.0	405.166	406.686	413.972	416.031			
422.16	12.555999999999983	trials	ytpst=1000.0 scnpz=1000.0	422.186	425.086	432.372	434.714			
440.517	10.816000000000031	trials	ytpst=1000.0 scnpz=1000.0	440.541	442.22	449.506	451.332			
458.392	11.608000000000004	trials	ytpst=40.0 scnpz=1000.0	458.418	460.451	465.455	469.998	463.549		
476.134	10.831999999999994	trials	ytpst=65.0 scnpz=1000.0	476.161	478.363	485.305	486.965	483.382		
496.436	12.180000000000007	trials	ytpst=1000.0 scnpz=1000.0	496.462	499.13	506.393	508.615			
521.362	12.488000000000056	trials	ytpst=1000.0 scnpz=1000.0	521.388	522.786	530.077	533.849			
542.441	9.942999999999984	trials	ytpst=65.0 scnpz=1000.0	542.468	543.898	550.823	552.382	548.91		
559.045	12.739000000000033	trials	ytpst=1000.0 scnpz=1000.0	559.071	562.948	570.24	571.783			
581.196	10.987999999999943	trials	ytpst=1000.0 scnpz=1000.0	581.222	582.836	590.107	592.183			
