onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
8.521	8.518	trials	gain=1.0	8.538	9.022	15.229	17.038			
27.138	9.283999999999995	trials	gain=1.0	27.155	27.639	33.929	36.421			
55.339	8.501000000000005	trials	gain=1.0	55.356	55.84	62.047	63.839			
84.556	9.284999999999997	trials	gain=1.0	84.573	85.056	91.263	93.839			
105.006	9.168000000000006	trials	gain=1.0	105.023	105.507	111.713	114.173			
123.79	9.718000000000004	trials	gain=1.0	123.807	124.29	130.498	133.506			
143.59	9.200999999999993	trials	gain=1.0	143.607	144.091	150.297	152.79			
162.84	9.317999999999984	trials	gain=1.0	162.857	163.341	169.547	172.157			
182.207	8.367999999999995	trials	gain=1.0	182.224	182.708	188.914	190.573			
211.34	8.668000000000006	trials	gain=1.0	211.357	211.841	218.048	220.007			
228.957	10.13500000000002	trials	gain=1.0	228.974	229.458	235.665	239.091			
251.555	9.920000000000016	trials	gain=1.0	251.572	252.056	258.265	261.474			
275.607	8.467999999999961	trials	gain=2.0	275.625	276.109	278.966	284.074			
298.524	8.75200000000001	trials	gain=1.0	298.542	299.026	305.25	307.274			
318.108	14.918000000000006	trials	gain=0.5	318.125	318.609	331.5	333.025			
340.975	8.950999999999965	trials	gain=1.0	340.992	341.476	347.683	349.925			
362.275	14.951999999999998	trials	gain=0.5	362.292	362.776	375.65	377.226			
390.94	5.637999999999977	trials	gain=2.0	390.958	391.441	394.3	396.576			
406.76	8.850999999999999	trials	gain=1.0	406.777	407.26	413.467	415.61			
438.56	10.185000000000002	trials	gain=1.0	438.577	439.061	445.301	448.743			
463.66	9.367999999999995	trials	gain=1.0	463.677	464.161	470.368	473.027			
481.077	5.018000000000029	trials	gain=2.0	481.094	481.578	484.434	486.094			
500.444	12.200999999999965	trials	gain=1.0	500.461	500.945	507.168	512.644			
534.477	8.268000000000029	trials	gain=1.0	534.494	534.978	541.185	542.744			
550.494	15.235000000000014	trials	gain=0.5	550.511	550.995	563.887	565.727			
580.894	8.284999999999968	trials	gain=1.0	580.911	581.395	587.62	589.178			
599.228	9.218000000000075	trials	gain=1.0	599.245	599.729	605.97	608.445			
617.328	17.701000000000022	trials	gain=0.5	617.345	617.829	630.72	635.028			
654.845	4.884999999999991	trials	gain=2.0	654.862	655.346	658.209	659.728			
669.978	8.635000000000105	trials	gain=1.0	669.995	670.48	676.686	678.612			
686.845	7.034999999999968	trials	gain=2.0	686.862	687.347	690.203	693.879			
701.946	8.735000000000014	trials	gain=1.0	701.963	702.447	708.654	710.68			
723.63	17.63499999999999	trials	gain=0.5	723.647	724.13	737.004	741.263			
753.047	10.168000000000006	trials	gain=1.0	753.064	753.547	759.772	763.213			
774.214	10.017999999999915	trials	gain=1.0	774.231	774.714	780.921	784.23			
798.445	8.769999999999982	trials	gain=1.0	798.462	798.946	805.155	807.214			
820.097	11.067999999999984	trials	gain=1.0	820.114	820.598	826.805	831.164			
840.414	15.837999999999965	trials	gain=0.5	840.431	840.915	853.789	856.251			
864.281	6.684000000000083	trials	gain=2.0	864.298	864.782	867.639	870.964			
881.798	8.768000000000029	trials	gain=1.0	881.815	882.299	888.506	890.564			
898.098	5.285000000000082	trials	gain=2.0	898.115	898.599	901.473	903.381			
923.981	15.701999999999998	trials	gain=0.5	924.01	924.483	937.356	939.682			
950.948	8.302000000000021	trials	gain=1.0	950.965	951.45	957.673	959.248			
982.882	10.368000000000052	trials	gain=1.0	982.899	983.383	989.617	993.249			
1005.215	9.717999999999961	trials	gain=1.0	1005.232	1005.717	1011.923	1014.932			
1023.965	10.370000000000005	trials	gain=1.0	1023.983	1024.467	1030.69	1034.333			
1046.467	8.033999999999878	trials	gain=2.0	1046.484	1046.967	1049.824	1054.5			
1070.9	9.017999999999802	trials	gain=1.0	1070.918	1071.401	1077.608	1079.917			
1090.95	15.684999999999945	trials	gain=0.5	1090.968	1091.451	1104.324	1106.634			
1115.017	8.451999999999998	trials	gain=1.0	1115.034	1115.518	1121.725	1123.467			
1135.984	10.235000000000127	trials	gain=1.0	1136.001	1136.485	1142.692	1146.218			
1155.567	15.751999999999953	trials	gain=0.5	1155.585	1156.068	1168.942	1171.318			
1186.334	5.751999999999953	trials	gain=2.0	1186.352	1186.835	1189.693	1192.085			
1203.001	9.835000000000036	trials	gain=1.0	1203.018	1203.502	1209.726	1212.835			
1225.618	9.000999999999976	trials	gain=1.0	1225.635	1226.119	1232.343	1234.618			
1246.402	9.792999999999893	trials	gain=1.0	1246.419	1246.903	1253.109	1256.193			
1266.785	15.750999999999976	trials	gain=0.5	1266.802	1267.286	1280.16	1282.535			
1309.802	5.351000000000113	trials	gain=2.0	1309.819	1310.303	1313.165	1315.152			
1327.169	8.767999999999802	trials	gain=1.0	1327.186	1327.67	1333.878	1335.936			
1350.652	8.603000000000065	trials	gain=1.0	1350.67	1351.154	1357.361	1359.254			
1367.554	17.367999999999938	trials	gain=0.5	1367.582	1368.054	1380.944	1384.92			
1398.57	9.201999999999998	trials	gain=1.0	1398.588	1399.071	1405.279	1407.77			
1416.587	8.451999999999998	trials	gain=1.0	1416.604	1417.088	1423.296	1425.037			
1436.788	6.451000000000022	trials	gain=2.0	1436.805	1437.288	1440.144	1443.237			
1451.454	8.285000000000082	trials	gain=1.0	1451.471	1451.955	1458.162	1459.738			
1476.804	8.367999999999938	trials	gain=1.0	1476.821	1477.305	1483.555	1485.171			
1497.455	9.051000000000158	trials	gain=1.0	1497.472	1497.956	1504.167	1506.504			
1517.655	5.2840000000001055	trials	gain=2.0	1517.672	1518.156	1521.013	1522.938			
1540.988	8.301999999999907	trials	gain=1.0	1541.005	1541.489	1547.696	1549.288			
1558.755	14.950999999999794	trials	gain=0.5	1558.784	1559.256	1572.129	1573.705			
1582.972	15.134999999999991	trials	gain=0.5	1582.989	1583.473	1596.347	1598.105			
1607.489	10.250999999999976	trials	gain=1.0	1607.506	1607.99	1614.197	1617.739			
1631.456	9.551000000000158	trials	gain=1.0	1631.473	1631.957	1638.164	1641.006			
1650.406	5.484000000000151	trials	gain=2.0	1650.423	1650.907	1653.764	1655.889			
1667.822	10.485000000000127	trials	gain=1.0	1667.84	1668.324	1674.531	1678.306			
1703.624	5.917999999999893	trials	gain=2.0	1703.641	1704.124	1706.981	1709.54			
1718.774	16.01800000000003	trials	gain=0.5	1718.791	1719.274	1732.232	1734.791			
1755.241	8.41800000000012	trials	gain=1.0	1755.258	1755.742	1761.966	1763.658			
1779.274	9.985000000000127	trials	gain=1.0	1779.292	1779.775	1785.982	1789.258			
1804.658	11.16800000000012	trials	gain=1.0	1804.675	1805.159	1811.382	1815.825			
1832.091	16.00200000000018	trials	gain=0.5	1832.109	1832.592	1845.466	1848.092			
1858.623	8.970000000000027	trials	gain=1.0	1858.641	1859.124	1865.333	1867.592			
1878.042	4.91800000000012	trials	gain=2.0	1878.059	1878.543	1881.4	1882.958			
1892.308	8.56899999999996	trials	gain=1.0	1892.326	1892.81	1899.027	1900.875			
1912.192	8.348999999999933	trials	gain=1.0	1912.209	1912.693	1918.9	1920.54			
1932.192	11.384999999999991	trials	gain=1.0	1932.209	1932.693	1938.9	1943.576			
1954.926	8.801000000000158	trials	gain=1.0	1954.943	1955.427	1961.65	1963.726			
1973.657	9.336999999999989	trials	gain=1.0	1973.674	1974.158	1980.367	1982.993			
1995.259	15.885999999999967	trials	gain=0.5	1995.276	1995.761	2008.635	2011.144			
2020.277	7.884999999999991	trials	gain=2.0	2020.294	2020.778	2023.64	2028.161			
2039.144	8.884999999999991	trials	gain=1.0	2039.161	2039.645	2045.868	2048.027			
2062.878	6.000999999999749	trials	gain=2.0	2062.895	2063.378	2066.235	2068.878			
2083.428	11.651000000000295	trials	gain=1.0	2083.445	2083.928	2090.135	2095.078			
2112.061	10.567999999999756	trials	gain=1.0	2112.078	2112.562	2118.77	2122.628			
2141.776	15.037000000000262	trials	gain=0.5	2141.793	2142.277	2155.153	2156.812			
2173.259	15.103999999999814	trials	gain=0.5	2173.276	2173.76	2186.636	2188.362			
2196.295	9.072999999999865	trials	gain=1.0	2196.312	2196.796	2203.003	2205.366			
2218.195	9.101999999999862	trials	gain=1.0	2218.213	2218.697	2224.909	2227.295			
2237.128	6.001999999999953	trials	gain=2.0	2237.146	2237.63	2240.487	2243.129			
2251.996	9.65099999999984	trials	gain=1.0	2252.013	2252.497	2258.72	2261.646			
2276.696	15.468000000000302	trials	gain=0.5	2276.713	2277.197	2290.071	2292.163			
2300.896	6.600999999999658	trials	gain=2.0	2300.913	2301.398	2304.255	2307.496			
2317.796	10.902000000000044	trials	gain=1.0	2317.813	2318.298	2324.505	2328.696			
2336.781	10.55099999999993	trials	gain=1.0	2336.798	2337.281	2343.488	2347.331			
2358.847	8.617999999999938	trials	gain=1.0	2358.865	2359.348	2365.555	2367.464			
2376.331	6.167999999999665	trials	gain=2.0	2376.348	2376.831	2379.689	2382.498			
2391.298	8.91800000000012	trials	gain=1.0	2391.325	2391.798	2398.005	2400.214			
2413.031	8.434999999999945	trials	gain=1.0	2413.048	2413.532	2419.739	2421.465			
2433.831	16.95199999999977	trials	gain=0.5	2433.848	2434.332	2447.206	2450.781			
2466.198	8.402000000000044	trials	gain=1.0	2466.215	2466.699	2472.906	2474.598			
2504.182	7.068000000000211	trials	gain=2.0	2504.199	2504.683	2507.54	2511.249			
2524.598	10.619000000000142	trials	gain=1.0	2524.615	2525.099	2531.307	2535.215			
2545.315	8.684999999999945	trials	gain=1.0	2545.333	2545.817	2552.024	2553.999			
2562.999	8.518000000000029	trials	gain=1.0	2563.016	2563.5	2569.707	2571.516			
2584.232	16.83100000000013	trials	gain=0.5	2584.25	2584.734	2598.124	2601.061			
2617.96	13.224999999999909	trials	gain=1.0	2617.993	2618.559	2628.374	2631.183			
2647.483	8.350999999999658	trials	gain=1.0	2647.5	2647.984	2654.191	2655.833			
2671.584	5.585000000000036	trials	gain=2.0	2671.601	2672.085	2674.942	2677.168			
2691.051	15.568000000000211	trials	gain=0.5	2691.068	2691.551	2704.425	2706.618			
2715.684	10.334999999999582	trials	gain=1.0	2715.702	2716.185	2722.409	2726.018			
2733.918	5.050999999999931	trials	gain=2.0	2733.935	2734.419	2737.276	2738.968			
2747.818	16.467999999999847	trials	gain=0.5	2747.835	2748.319	2761.192	2764.285			
2783.435	9.202000000000226	trials	gain=1.0	2783.452	2783.936	2790.16	2792.635			
2808.085	11.034999999999854	trials	gain=1.0	2808.102	2808.586	2814.793	2819.119			
2829.185	8.251999999999953	trials	gain=1.0	2829.203	2829.686	2835.91	2837.436			
2845.785	9.91800000000012	trials	gain=1.0	2845.803	2846.286	2852.493	2855.702			
2868.619	5.8849999999997635	trials	gain=2.0	2868.636	2869.12	2871.977	2874.502			
2884.902	15.601999999999862	trials	gain=0.5	2884.92	2885.404	2898.394	2900.503			
