onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
6.53	17.996	trials	same=1.0	6.554	8.791	16.244	24.524			
30.871	11.599999999999998	trials	same=1.0	30.897	33.258	40.73	42.47			
48.486	11.102000000000004	trials	same=1.0	48.512	50.509	57.961	59.587			
66.48	12.507999999999996	trials	same=1.0	66.505	69.838	77.294	78.987			
84.682	13.643	trials	same=1.0	84.706	88.843	96.414	98.324			
106.262	12.293000000000006	trials	same=1.0	106.29	107.793	115.263	118.554			
124.096	13.431999999999988	trials	same=1.0	124.119	127.46	134.928	137.527			
145.37	11.469999999999999	trials	same=1.0	145.393	147.46	154.928	156.839			
170.014	12.893	trials	same=1.0	170.037	172.011	179.463	182.906			
193.123	12.551000000000016	trials	same=1.0	193.148	196.344	203.833	205.673			
210.932	10.842000000000013	trials	same=1.0	210.956	212.711	220.157	221.773			
230.068	12.455999999999989	trials	same=1.0	230.092	232.661	240.113	242.523			
249.331	11.31000000000003	trials	same=1.0	249.355	250.845	258.297	260.64			
267.285	11.238999999999976	trials	same=1.0	267.309	269.312	276.797	278.523			
287.12	12.221000000000004	trials	same=1.0	287.146	289.979	297.414	299.34			
308.715	12.612000000000023	trials	same=1.0	308.741	311.096	318.564	321.326			
326.617	11.70799999999997	trials	same=1.0	326.641	329.263	336.734	338.324			
346.199	13.909999999999968	trials	same=1.0	346.222	350.913	358.425	360.107			
365.801	12.524000000000001	trials	same=1.0	365.827	368.68	376.131	378.324			
384.656	13.452999999999975	trials	same=1.0	384.683	388.78	396.248	398.108			
404.626	13.283000000000015	trials	same=1.0	404.651	406.281	413.782	417.908			
424.429	10.734000000000037	trials	same=1.0	424.454	425.931	433.382	435.162			
442.686	11.640000000000043	trials	same=1.0	442.71	444.648	452.068	454.325			
460.589	14.387	trials	same=1.0	460.617	464.898	472.365	474.975			
483.27	13.61099999999999	trials	same=1.0	483.294	487.399	494.834	496.88			
501.904	13.407000000000039	trials	same=1.0	501.93	505.416	512.886	515.31			
523.692	12.20399999999995	trials	same=1.0	523.72	525.266	532.704	535.895			
543.927	13.967999999999961	trials	same=1.0	543.953	547.366	554.817	557.893			
564.782	13.795999999999935	trials	same=1.0	564.808	567.45	574.895	578.577			
584.961	12.183999999999969	trials	same=1.0	584.987	586.55	594.004	597.144			
608.095	16.351999999999975	trials	same=1.0	608.12	611.317	618.778	624.446			
633.674	14.822999999999979	trials	same=1.0	633.698	635.267	642.702	648.496			
661.322	10.624000000000024	trials	same=1.0	661.346	662.852	670.318	671.944			
680.065	12.80099999999993	trials	same=1.0	680.09	683.652	691.111	692.864			
697.844	11.718999999999937	trials	same=1.0	697.867	700.469	707.902	709.561			
716.62	10.961999999999989	trials	same=1.0	716.643	718.419	725.855	727.58			
738.745	12.65300000000002	trials	same=1.0	738.77	740.852	748.319	751.397			
756.496	12.5	trials	same=1.0	756.522	758.069	765.506	768.995			
775.055	12.825000000000045	trials	same=1.0	775.08	778.219	785.686	787.879			
797.739	12.823999999999955	trials	same=1.0	797.763	800.604	807.987	810.562			
818.207	11.724000000000046	trials	same=1.0	818.233	820.672	828.053	829.93			
