onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
144.514	13.350999999999999	trials	ytpst=1000.0 scnpz=1000.0	144.543	147.813	155.104	157.864			
168.163	11.034999999999997	trials	ytpst=1000.0 scnpz=1000.0	168.195	169.463	176.713	179.197			
188.596	11.152999999999992	trials	ytpst=1000.0 scnpz=1000.0	188.627	190.686	198.022	199.747			
207.832	11.967000000000013	trials	ytpst=1000.0 scnpz=1000.0	207.864	210.613	217.905	219.797			
229.688	11.527000000000015	trials	ytpst=1000.0 scnpz=1000.0	229.715	231.336	238.606	241.214			
247.302	11.54800000000003	trials	ytpst=1000.0 scnpz=1000.0	247.33	249.52	256.78	258.849			
267.882	10.992000000000019	trials	ytpst=1000.0 scnpz=1000.0	267.914	269.748	277.006	278.873			
288.159	12.14100000000002	trials	ytpst=1000.0 scnpz=1000.0	288.187	289.565	296.847	300.299			
307.182	13.418000000000006	trials	ytpst=1000.0 scnpz=1000.0	307.217	308.388	315.639	320.599			
329.876	13.932000000000016	trials	ytpst=1000.0 scnpz=1000.0	329.906	334.088	341.364	343.806			
349.036	12.098000000000013	trials	ytpst=65.0 scnpz=1000.0	349.064	352.448	359.373	361.133	357.449		
367.636	9.347999999999956	trials	ytpst=40.0 scnpz=1000.0	367.667	368.905	373.857	376.983	371.973		
384.449	13.384999999999991	trials	ytpst=1000.0 scnpz=1000.0	384.477	388.132	395.407	397.833			
404.376	10.858000000000004	trials	ytpst=1000.0 scnpz=1000.0	404.404	406.221	413.507	415.233			
420.778	11.106999999999971	trials	ytpst=1000.0 scnpz=1000.0	420.806	422.815	430.091	431.884			
437.188	18.51400000000001	trials	ytpst=1000.0 scnpz=70.0	437.216	440.507	452.808	455.701		445.925	450.951
461.172	11.363	trials	ytpst=1000.0 scnpz=1000.0	461.202	463.433	470.708	472.534			
487.122	10.979999999999961	trials	ytpst=65.0 scnpz=1000.0	487.15	488.5	495.475	498.101	493.508		
506.489	11.146999999999991	trials	ytpst=1000.0 scnpz=1000.0	506.517	507.623	514.908	517.634			
523.434	17.152000000000044	trials	ytpst=1000.0 scnpz=70.0	523.463	526.407	538.693	540.585		531.808	536.808
547.524	11.544999999999959	trials	ytpst=1000.0 scnpz=1000.0	547.552	549.85	557.143	559.068			
565.751	9.018000000000029	trials	ytpst=40.0 scnpz=1000.0	565.78	567.801	572.775	574.768	570.885		
582.535	11.634000000000015	trials	ytpst=1000.0 scnpz=1000.0	582.563	585.067	592.342	594.168			
599.546	11.263999999999896	trials	ytpst=1000.0 scnpz=1000.0	599.575	600.94	608.209	610.809			
624.606	12.998000000000047	trials	ytpst=1000.0 scnpz=1000.0	624.635	628.485	635.76	637.603			
642.897	12.989999999999895	trials	ytpst=1000.0 scnpz=1000.0	642.925	646.208	653.46	655.886			
661.957	15.587999999999965	trials	ytpst=1000.0 scnpz=70.0	661.985	663.258	675.527	677.544		668.637	673.653
688.841	10.580000000000041	trials	ytpst=1000.0 scnpz=1000.0	688.871	690.508	697.777	699.42			
706.007	11.631000000000085	trials	ytpst=65.0 scnpz=1000.0	706.036	708.709	715.627	717.637	713.703		
723.293	11.81899999999996	trials	ytpst=1000.0 scnpz=1000.0	723.321	724.425	731.711	735.111			
742.28	10.441000000000031	trials	ytpst=40.0 scnpz=1000.0	742.308	744.342	749.295	752.72	747.42		
760.147	12.657999999999902	trials	ytpst=1000.0 scnpz=1000.0	760.175	762.142	769.411	772.803			
782.604	10.168999999999983	trials	ytpst=40.0 scnpz=1000.0	782.632	785.827	790.811	792.771	788.912		
798.738	11.267999999999915	trials	ytpst=65.0 scnpz=1000.0	798.766	801.104	808.045	810.005	806.128		
