onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
15.798	12.353	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	15.824	17.048	24.838	28.15			
36.131	11.543999999999997	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	36.157	37.339	45.112	47.673			
53.713	13.600000000000001	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	53.745	55.133	62.919	67.312			
72.511	13.37100000000001	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	72.542	75.813	83.577	85.88			
90.06	12.078999999999994	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	90.088	93.804	99.305	102.138	97.407		
108.624	13.766000000000005	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	108.656	112.4	120.176	122.389			
127.318	12.174999999999997	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	127.346	128.907	136.693	139.492	134.045		
149.811	15.127999999999986	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	149.839	153.591	161.379	164.938			
169.095	12.010999999999996	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	169.127	171.277	179.068	181.105			
186.134	12.664000000000016	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	186.164	188.593	196.379	198.797			
205.884	10.225000000000023	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	205.913	208.211	213.682	216.107	211.802		
223.139	11.896999999999991	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	223.165	224.497	232.281	235.034	229.627		
240.366	12.597999999999985	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	240.394	241.964	249.746	252.963			
260.776	11.459000000000003	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	260.811	262.066	269.87	272.234			
282.36	13.240000000000009	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	282.389	284.834	292.656	295.598			
300.422	12.024999999999977	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	300.448	302.071	309.866	312.446	307.206		
317.212	12.62700000000001	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	317.24	320.82	326.297	329.838	324.431		
344.606	13.754000000000019	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	344.639	346.342	354.155	358.359			
364.017	12.057000000000016	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	364.048	366.191	373.978	376.073			
381.23	11.512999999999977	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	381.261	382.551	390.365	392.742			
398.478	12.355000000000018	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	398.508	400.622	408.42	410.832			
415.722	13.543000000000006	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	415.751	418.399	426.218	429.264			
435.293	9.754000000000019	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	435.32	436.625	442.101	445.046	440.227		
451.511	12.952999999999975	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	451.543	453.913	461.685	464.463			
471.541	14.953000000000031	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	471.568	475.684	483.479	486.493	480.796		
491.821	12.400999999999954	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	491.849	493.866	501.644	504.22			
509.234	13.602000000000032	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	509.265	510.845	518.637	522.835			
529.884	12.951000000000022	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	529.912	531.168	538.952	542.833			
550.233	12.86200000000008	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	550.266	553.019	560.8	563.094			
567.853	8.722000000000094	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	567.881	568.983	574.461	576.573	572.566		
582.967	12.864000000000033	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	582.993	585.47	593.267	595.83	590.61		
601.237	13.416000000000054	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	601.268	604.163	611.94	614.652			
629.823	13.779999999999973	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	629.853	633.49	641.261	643.602			
652.02	11.736999999999966	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	652.05	653.585	661.353	663.755			
671.788	11.495999999999981	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	671.818	672.98	680.768	683.283			
687.824	10.434000000000083	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	687.852	689.418	694.911	698.257	693.014		
704.249	11.447000000000003	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	704.276	705.507	713.298	715.695			
723.2	11.63799999999992	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	723.227	724.746	732.535	734.837	729.877		
739.924	14.234000000000037	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	739.955	743.93	751.722	754.157			
759.907	12.591000000000008	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	759.937	761.339	769.146	772.497			
777.735	13.477999999999952	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	777.762	779.93	787.696	791.211			
796.098	13.62600000000009	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	796.131	799.164	806.953	809.723			
813.981	10.337999999999965	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	814.009	815.478	820.971	824.318	819.095		
830.762	12.804000000000087	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	830.79	833.521	841.334	843.565	838.648		
849.845	14.081000000000017	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	849.875	853.664	861.437	863.924			
869.79	12.44500000000005	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	869.818	873.219	878.686	882.234	876.814		
892.686	14.204999999999927	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	892.718	896.936	904.716	906.889			
915.116	11.634000000000015	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	915.146	916.666	924.455	926.749			
934.858	12.674000000000092	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	934.886	937.464	945.24	947.531			
951.841	13.467999999999961	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	951.868	953.265	961.052	965.308	958.405		
971.525	14.585000000000036	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	971.552	975.545	983.348	986.109	980.689		
992.752	11.960000000000036	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	992.779	994.705	1002.472	1004.711			
1010.241	13.145999999999958	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1010.275	1013.507	1021.296	1023.386			
1030.223	11.913999999999987	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1030.25	1033.758	1039.255	1042.136	1037.354		
1056.496	12.663999999999987	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1056.528	1058.977	1066.781	1069.159			
1075.415	14.614000000000033	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1075.444	1079.791	1087.58	1090.027			
1099.501	12.150000000000091	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1099.532	1101.773	1109.552	1111.65			
1118.634	12.026000000000067	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1118.664	1120.13	1127.934	1130.659			
1135.796	14.077999999999975	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1135.825	1139.227	1147.017	1149.873			
1154.827	13.433999999999969	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1154.854	1155.987	1163.781	1168.26	1161.128		
1173.297	10.100999999999885	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1173.325	1175.882	1181.351	1183.397	1179.477		
1187.92	13.164999999999964	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1187.952	1190.422	1198.188	1201.084			
1208.125	13.6099999999999	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1208.153	1211.271	1219.061	1221.734			
1227.584	11.26299999999992	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1227.61	1230.288	1235.782	1238.846	1233.898		
1247.387	14.100000000000136	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1247.42	1250.871	1258.64	1261.486			
1266.307	11.849999999999909	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1266.338	1268.321	1276.11	1278.155			
1283.489	14.714999999999918	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1283.517	1286.65	1294.436	1298.203	1291.773		
1303.322	14.745000000000118	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1303.353	1307.155	1314.934	1318.066			
1326.439	11.939999999999827	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1326.47	1327.785	1335.57	1338.378			
1344.432	14.461999999999989	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1344.462	1347.802	1355.598	1358.893			
1365.256	11.771999999999935	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1365.287	1366.984	1374.753	1377.027			
1381.2	13.481999999999971	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1381.227	1382.794	1390.563	1394.681			
1400.769	8.654999999999973	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1400.796	1401.904	1407.389	1409.423	1405.502		
1423.317	11.82400000000007	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1423.344	1424.508	1432.294	1435.14	1429.635		
1439.353	14.569999999999936	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1439.383	1442.364	1450.155	1453.922			
1460.478	14.635999999999967	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1460.51	1463.055	1470.848	1475.113			
1482.916	11.552000000000135	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1482.945	1483.987	1491.771	1494.467	1489.106		
1500.92	12.256999999999834	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1500.951	1503.196	1511.006	1513.175			
1520.339	9.355000000000018	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1520.368	1521.798	1527.272	1529.692	1525.401		
1539.178	12.162999999999784	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1539.205	1540.339	1548.134	1551.339			
1555.724	11.514000000000124	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1555.756	1556.806	1564.617	1567.237			
1576.202	11.575000000000045	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1576.233	1577.56	1585.355	1587.776			
1594.56	12.245000000000118	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1594.588	1599.096	1604.56	1606.803	1602.681		
1613.017	11.42899999999986	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1613.044	1614.41	1622.221	1624.445	1619.545		
1631.174	13.106999999999971	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1631.201	1633.409	1641.211	1644.279			
1649.854	12.344000000000051	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1649.886	1652.339	1660.121	1662.197			
1666.72	12.001999999999953	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1666.748	1668.663	1676.436	1678.72	1673.789		
1684.131	11.87299999999982	trials	ytpst=1000.0 wrdid=1.0 yenvtele=1000.0	1684.159	1685.314	1693.106	1696.002			
1702.685	13.683999999999969	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1702.717	1704.406	1712.171	1716.368			
1721.034	14.654999999999973	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1721.065	1723.955	1731.733	1735.688			
1741.076	9.694999999999936	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1741.104	1743.049	1748.525	1750.77	1746.654		
1756.304	13.391999999999825	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1756.336	1758.72	1766.511	1769.695			
1777.487	9.879999999999882	trials	ytpst=40.0 wrdid=1.0 yenvtele=1000.0	1777.514	1779.424	1784.875	1787.365	1783.002		
1793.164	12.57899999999995	trials	ytpst=1000.0 wrdid=1.0 yenvtele=60.0	1793.19	1795.565	1803.363	1805.741	1800.685		
1810.108	13.119000000000142	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1810.138	1811.873	1819.652	1823.225			
1833.533	12.548000000000002	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1833.565	1835.186	1842.96	1846.079			
1851.8	13.385999999999967	trials	ytpst=1000.0 wrdid=2.0 yenvtele=1000.0	1851.83	1853.669	1861.444	1865.184			
