onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
226.044	14.151999999999987	trials	same=1.0	226.064	230.175	237.621	240.195			
247.151	11.932000000000016	trials	same=1.0	247.17	249.755	257.151	259.082			
266.961	11.437999999999988	trials	same=1.0	266.978	268.785	276.167	278.398			
286.527	12.624000000000024	trials	same=1.0	286.548	289.475	296.892	299.15			
303.812	11.586999999999989	trials	same=1.0	303.829	305.85	313.261	315.398			
324.245	10.899999999999977	trials	same=1.0	324.264	325.797	333.159	335.144			
341.88	14.828000000000031	trials	same=1.0	341.897	345.827	353.209	356.707			
362.728	11.680000000000007	trials	same=1.0	362.749	364.681	372.085	374.407			
381.441	12.873000000000047	trials	same=1.0	381.477	383.842	391.206	394.313			
401.558	13.807999999999993	trials	same=1.0	401.577	405.841	413.233	415.365			
423.741	11.61099999999999	trials	same=1.0	423.759	425.396	432.777	435.351			
442.443	11.091000000000008	trials	same=1.0	442.462	443.94	451.304	453.533			
463.165	15.228999999999985	trials	same=1.0	463.183	466.427	473.799	478.393			
489.145	11.876000000000033	trials	same=1.0	489.166	491.028	498.409	501.02			
510.948	12.565000000000055	trials	same=1.0	510.965	512.967	520.397	523.512			
528.344	11.561999999999898	trials	same=1.0	528.364	529.842	537.229	539.905			
551.582	14.009999999999991	trials	same=1.0	551.602	556.1	563.473	565.591			
574.834	11.97700000000009	trials	same=1.0	574.851	577.192	584.581	586.81			
595.512	13.33800000000008	trials	same=1.0	595.53	598.187	605.545	608.849			
616.82	10.851999999999975	trials	same=1.0	616.838	618.405	625.808	627.671			
633.187	14.852999999999952	trials	same=1.0	633.206	636.685	644.072	648.039			
654.511	12.684000000000083	trials	same=1.0	654.529	656.072	663.448	667.194			
672.382	11.316000000000031	trials	same=1.0	672.4	674.639	682.001	683.697			
688.097	12.797000000000025	trials	same=1.0	688.117	690.838	698.222	700.893			
708.154	14.341999999999985	trials	same=1.0	708.173	712.344	719.729	722.495			
726.939	11.951999999999998	trials	same=1.0	726.957	729.707	737.104	738.89			
745.896	11.586000000000013	trials	same=1.0	745.914	747.448	754.879	757.481			
768.36	14.033000000000015	trials	same=1.0	768.378	771.627	778.97	782.392			
790.587	11.23599999999999	trials	same=1.0	790.605	792.832	800.184	801.822			
811.386	12.540000000000077	trials	same=1.0	811.404	814.437	821.82	823.925			
832.479	13.015999999999963	trials	same=1.0	832.498	834.903	842.311	845.494			
850.374	12.247999999999934	trials	same=1.0	850.392	852.684	860.05	862.62			
868.845	11.557000000000016	trials	same=1.0	868.865	870.71	878.07	880.401			
886.039	13.575000000000045	trials	same=1.0	886.057	889.116	896.494	899.613			
904.194	10.45900000000006	trials	same=1.0	904.211	905.716	913.086	914.652			
920.189	11.19900000000007	trials	same=1.0	920.206	922.13	929.503	931.387			
938.843	13.855000000000018	trials	same=1.0	938.864	941.159	948.551	952.697			
957.752	10.688000000000102	trials	same=1.0	957.77	959.212	966.606	968.439			
974.633	11.636999999999944	trials	same=1.0	974.652	977.191	984.552	986.269			
993.455	11.006999999999948	trials	same=1.0	993.474	995.518	1002.858	1004.461			
1010.552	14.110000000000014	trials	same=1.0	1010.57	1014.599	1021.99	1024.661			
1032.509	11.215999999999894	trials	same=1.0	1032.527	1034.478	1041.839	1043.724			
1048.851	10.865999999999985	trials	same=1.0	1048.87	1050.824	1058.192	1059.716			
1066.129	13.288000000000011	trials	same=1.0	1066.146	1068.156	1075.538	1079.416			
1085.398	11.90300000000002	trials	same=1.0	1085.416	1086.956	1094.32	1097.3			
1103.471	12.991999999999962	trials	same=1.0	1103.505	1107.041	1114.421	1116.462			
1123.603	11.294999999999845	trials	same=1.0	1123.621	1125.316	1132.689	1134.897			
1143.07	12.09699999999998	trials	same=1.0	1143.089	1146.219	1153.558	1155.166			
1162.426	12.147000000000162	trials	same=1.0	1162.459	1165.135	1172.487	1174.572			
1179.831	11.051000000000158	trials	same=1.0	1179.849	1181.834	1189.204	1190.881			
