onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
236.713	13.394000000000005	trials	same=1.0	236.739	240.654	247.964	250.106			
257.159	11.680000000000007	trials	same=1.0	257.185	258.889	266.213	268.838			
273.715	10.691000000000031	trials	same=1.0	273.742	274.923	282.232	284.405			
291.12	12.103999999999985	trials	same=1.0	291.148	293.021	300.33	303.222			
309.571	11.702999999999975	trials	same=1.0	309.599	311.305	318.63	321.273			
325.905	11.335000000000036	trials	same=1.0	325.933	327.055	334.332	337.239			
344.759	13.413999999999987	trials	same=1.0	344.787	348.605	355.913	358.172			
366.548	12.625999999999976	trials	same=1.0	366.575	369.789	377.099	379.172			
386.155	11.719000000000051	trials	same=1.0	386.182	387.906	395.213	397.873			
404.36	12.281000000000006	trials	same=1.0	404.387	406.25	413.581	416.64			
421.715	11.192000000000007	trials	same=1.0	421.743	423.517	430.831	432.906			
439.372	11.168999999999983	trials	same=1.0	439.4	441.167	448.464	450.539			
461.922	11.536000000000001	trials	same=1.0	461.95	463.357	470.664	473.456			
478.467	11.074000000000012	trials	same=1.0	478.495	479.607	486.914	489.54			
497.22	11.036999999999978	trials	same=1.0	497.248	498.301	505.598	508.256			
514.059	12.565000000000055	trials	same=1.0	514.087	516.89	524.181	526.623			
532.427	11.548000000000002	trials	same=1.0	532.454	534.507	541.781	543.973			
548.43	12.478000000000065	trials	same=1.0	548.476	551.417	558.698	560.907			
565.55	11.941000000000031	trials	same=1.0	565.578	566.706	574.031	577.49			
584.403	13.120999999999981	trials	same=1.0	584.432	586.124	593.448	597.523			
610.71	14.597999999999956	trials	same=1.0	610.738	614.706	622.014	625.307			
631.214	12.426999999999907	trials	same=1.0	631.241	633.207	640.498	643.64			
648.596	12.211999999999989	trials	same=1.0	648.624	650.706	658.014	660.807			
665.441	10.649999999999977	trials	same=1.0	665.469	666.707	674.014	676.09			
683.351	15.006999999999948	trials	same=1.0	683.379	687.235	694.532	698.357			
703.14	12.93500000000006	trials	same=1.0	703.168	706.152	713.482	716.074			
725.089	13.335999999999899	trials	same=1.0	725.118	727.974	735.266	738.424			
744.568	13.441000000000031	trials	same=1.0	744.596	747.157	754.465	758.008			
762.951	12.908000000000015	trials	same=1.0	762.979	766.202	773.483	775.858			
784.901	12.041000000000054	trials	same=1.0	784.929	786.435	793.732	796.941			
806.037	11.504999999999995	trials	same=1.0	806.064	807.525	814.815	817.541			
821.645	13.464000000000055	trials	same=1.0	821.673	824.309	831.632	835.108			
844.389	12.45399999999995	trials	same=1.0	844.417	846.736	854.066	856.841			
864.507	13.336000000000013	trials	same=1.0	864.535	867.968	875.283	877.841			
884.824	11.752000000000066	trials	same=1.0	884.851	885.959	893.299	896.575			
903.824	12.168000000000006	trials	same=1.0	903.861	905.141	912.466	915.991			
921.668	12.390999999999963	trials	same=1.0	921.694	923.203	930.533	934.058			
948.568	14.158000000000015	trials	same=1.0	948.596	951.625	958.916	962.725			
967.885	10.807999999999993	trials	same=1.0	967.911	969.308	976.617	978.692			
982.882	12.427999999999997	trials	same=1.0	982.907	985.402	992.716	995.309			
1005.765	12.461999999999989	trials	same=1.0	1005.792	1007.458	1014.784	1018.226			
1025.875	12.335000000000036	trials	same=1.0	1025.902	1028.825	1036.1	1038.209			
1048.606	11.787000000000035	trials	same=1.0	1048.636	1049.908	1057.216	1060.392			
1065.336	11.20699999999988	trials	same=1.0	1065.363	1067.159	1074.45	1076.542			
1082.884	13.742999999999938	trials	same=1.0	1082.912	1087.192	1094.5	1096.626			
1102.389	13.771000000000186	trials	same=1.0	1102.419	1106.703	1113.983	1116.159			
1122.177	13.851000000000113	trials	same=1.0	1122.204	1125.142	1132.417	1136.026			
1143.952	13.076000000000022	trials	same=1.0	1143.981	1146.109	1153.434	1157.026			
1168.835	14.776000000000067	trials	same=1.0	1168.868	1172.26	1179.584	1183.61			
1187.916	12.411000000000058	trials	same=1.0	1187.945	1190.759	1198.087	1200.326			
1205.267	13.326999999999998	trials	same=1.0	1205.295	1207.144	1214.434	1218.592			
1233.62	13.590000000000146	trials	same=1.0	1233.646	1235.543	1242.851	1247.209			
