onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
231.242	12.292000000000002	trials	gain=1.0	231.279	233.755	241.058	243.533			
250.649	12.98599999999999	trials	gain=1.0	250.678	252.619	259.924	263.633			
271.476	11.658000000000015	trials	gain=1.0	271.502	274.053	281.357	283.133			
289.192	13.10899999999998	trials	gain=1.0	289.218	291.437	298.757	302.3			
309.96	10.209000000000003	trials	gain=1.0	309.989	311.233	318.545	320.168			
326.96	10.025000000000034	trials	gain=1.0	326.985	328.094	335.391	336.983			
343.687	11.164999999999964	trials	gain=1.0	343.713	345.766	353.074	354.851			
365.792	11.69300000000004	trials	gain=1.0	365.818	367.25	374.559	377.483			
383.526	10.558999999999969	trials	gain=1.0	383.555	384.887	392.225	394.084			
404.81	11.141999999999996	trials	gain=1.0	404.835	406.983	414.292	415.951			
421.972	11.713000000000022	trials	gain=1.0	421.997	424.534	431.858	433.684			
439.193	7.725000000000023	trials	gain=2.0	439.219	441.112	444.792	446.917			
457.452	19.548999999999978	trials	gain=0.5	457.48	459.594	474.142	477.0			
490.696	19.72199999999998	trials	gain=0.5	490.721	493.796	508.325	510.417			
517.036	10.733000000000061	trials	gain=2.0	517.063	518.438	522.126	527.768			
535.527	12.908999999999992	trials	gain=1.0	535.553	539.117	546.442	548.435			
553.894	11.424999999999955	trials	gain=1.0	553.92	556.305	563.592	565.318			
572.8	11.853000000000065	trials	gain=1.0	572.829	575.478	582.784	584.651			
595.528	11.358999999999924	trials	gain=1.0	595.553	597.744	605.076	606.885			
617.231	14.504999999999995	trials	gain=1.0	617.263	621.095	628.392	631.734			
637.884	10.784999999999968	trials	gain=2.0	637.913	640.314	644.026	648.668			
657.884	17.80200000000002	trials	gain=0.5	657.913	659.028	673.576	675.685			
684.445	10.857999999999947	trials	gain=1.0	684.471	685.684	692.969	695.301			
703.101	13.835000000000036	trials	gain=1.0	703.131	706.218	713.543	716.935			
727.086	6.800999999999931	trials	gain=2.0	727.113	728.345	732.06	733.886			
744.151	17.968000000000075	trials	gain=0.5	744.181	745.905	760.443	762.118			
770.868	11.768999999999892	trials	gain=1.0	770.897	773.468	780.794	782.635			
788.804	11.300000000000068	trials	gain=1.0	788.83	789.912	797.227	800.102			
807.495	7.607999999999947	trials	gain=2.0	807.519	809.112	812.813	815.102			
821.118	13.918999999999983	trials	gain=1.0	821.147	825.455	832.777	835.036			
841.662	9.974999999999909	trials	gain=1.0	841.688	842.718	850.027	851.635			
