onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
235.705	10.911000000000001	trials	ytpst=1000.0 scnpz=1000.0	235.729	236.974	244.272	246.615			
255.574	11.925000000000011	trials	ytpst=1000.0 scnpz=1000.0	255.6	256.831	264.123	267.498			
276.208	10.590999999999951	trials	ytpst=1000.0 scnpz=1000.0	276.233	277.275	284.607	286.798			
296.495	11.103999999999985	trials	ytpst=1000.0 scnpz=1000.0	296.52	297.992	305.291	307.598			
313.201	13.93199999999996	trials	ytpst=1000.0 scnpz=1000.0	313.227	316.965	324.273	327.131			
332.634	11.966000000000008	trials	ytpst=1000.0 scnpz=1000.0	332.659	333.948	341.256	344.598			
348.578	12.922000000000025	trials	ytpst=1000.0 scnpz=1000.0	348.604	350.265	357.573	361.499			
370.957	13.293000000000006	trials	ytpst=1000.0 scnpz=1000.0	370.983	373.493	380.774	384.249			
390.762	9.088000000000022	trials	ytpst=40.0 scnpz=1000.0	390.787	392.559	397.524	399.848	395.665		
404.28	14.103000000000009	trials	ytpst=1000.0 scnpz=1000.0	404.307	408.61	415.907	418.382			
423.38	13.336999999999989	trials	ytpst=65.0 scnpz=1000.0	423.406	426.115	433.074	436.716	431.158		
444.573	10.861000000000047	trials	ytpst=1000.0 scnpz=1000.0	444.599	445.875	453.19	455.433			
461.169	11.331000000000017	trials	ytpst=1000.0 scnpz=1000.0	461.194	462.816	470.124	472.499			
478.823	17.194999999999993	trials	ytpst=1000.0 scnpz=70.0	478.853	481.609	493.941	496.017		487.033	492.042
500.775	10.959000000000003	trials	ytpst=1000.0 scnpz=1000.0	500.801	502.043	509.357	511.733			
520.513	11.20399999999995	trials	ytpst=1000.0 scnpz=1000.0	520.54	522.232	529.558	531.716			
537.674	12.676000000000045	trials	ytpst=1000.0 scnpz=1000.0	537.699	540.466	547.774	550.349			
555.169	12.480999999999995	trials	ytpst=40.0 scnpz=1000.0	555.195	559.01	564.008	567.649	562.124		
572.173	11.345000000000027	trials	ytpst=1000.0 scnpz=1000.0	572.198	573.343	580.657	583.516			
590.831	12.970000000000027	trials	ytpst=65.0 scnpz=1000.0	590.858	592.566	599.541	603.8	597.609		
609.223	11.494000000000028	trials	ytpst=1000.0 scnpz=1000.0	609.249	610.816	618.126	620.716			
629.25	18.835000000000036	trials	ytpst=1000.0 scnpz=70.0	629.276	631.617	643.925	648.083		637.017	642.05
654.658	8.525999999999954	trials	ytpst=40.0 scnpz=1000.0	654.683	656.01	661.008	663.183	659.133		
668.045	10.623000000000047	trials	ytpst=1000.0 scnpz=1000.0	668.07	669.182	676.491	678.667			
687.973	11.295000000000073	trials	ytpst=65.0 scnpz=1000.0	687.998	690.049	697.009	699.267	695.084		
708.802	18.033000000000015	trials	ytpst=1000.0 scnpz=70.0	708.83	711.3	723.625	726.834		716.733	721.744
733.951	14.150999999999954	trials	ytpst=1000.0 scnpz=1000.0	733.977	736.884	744.192	748.1			
753.367	11.768000000000029	trials	ytpst=1000.0 scnpz=1000.0	753.393	755.35	762.675	765.134			
770.07	13.048000000000002	trials	ytpst=1000.0 scnpz=1000.0	770.095	772.527	779.825	783.117			
787.396	11.288999999999987	trials	ytpst=1000.0 scnpz=1000.0	787.421	789.112	796.409	798.684			
803.948	13.053999999999974	trials	ytpst=65.0 scnpz=1000.0	803.975	806.433	813.393	817.001	811.467		
821.874	9.495000000000005	trials	ytpst=40.0 scnpz=1000.0	821.899	823.361	828.359	831.368	826.475		
835.447	20.03800000000001	trials	ytpst=1000.0 scnpz=70.0	835.472	838.684	851.009	855.484		844.118	849.134
865.026	11.309000000000083	trials	ytpst=1000.0 scnpz=1000.0	865.051	866.601	873.909	876.334			
880.669	11.432999999999993	trials	ytpst=1000.0 scnpz=1000.0	880.693	882.194	889.525	892.101			
897.254	11.615000000000009	trials	ytpst=1000.0 scnpz=1000.0	897.279	899.112	906.409	908.868			
913.847	10.904999999999973	trials	ytpst=1000.0 scnpz=1000.0	913.872	915.394	922.692	924.751			
931.342	11.144000000000005	trials	ytpst=40.0 scnpz=1000.0	931.368	933.996	938.992	942.484	937.101		
949.808	12.86099999999999	trials	ytpst=65.0 scnpz=1000.0	949.834	953.617	960.593	962.668	958.668		
971.541	11.827999999999975	trials	ytpst=1000.0 scnpz=1000.0	971.566	973.212	980.559	983.368			
988.161	12.658000000000015	trials	ytpst=1000.0 scnpz=1000.0	988.187	989.218	996.527	1000.818			
1008.198	15.954000000000065	trials	ytpst=1000.0 scnpz=70.0	1008.223	1009.452	1021.793	1024.151		1014.878	1019.902
1032.437	11.800000000000182	trials	ytpst=1000.0 scnpz=1000.0	1032.462	1034.129	1041.411	1044.236			
1049.995	13.791000000000167	trials	ytpst=1000.0 scnpz=1000.0	1050.02	1053.513	1060.843	1063.785			
1073.009	13.060999999999922	trials	ytpst=1000.0 scnpz=1000.0	1073.035	1075.535	1082.876	1086.068			
1094.071	11.632000000000062	trials	ytpst=1000.0 scnpz=1000.0	1094.097	1095.785	1103.109	1105.702			
1111.538	12.182000000000016	trials	ytpst=65.0 scnpz=1000.0	1111.563	1113.028	1120.013	1123.719	1118.078		
1130.127	11.241999999999962	trials	ytpst=1000.0 scnpz=1000.0	1130.152	1131.463	1138.776	1141.368			
1147.554	18.565999999999804	trials	ytpst=1000.0 scnpz=70.0	1147.579	1150.08	1162.395	1166.118		1155.503	1160.519
1172.72	10.232999999999947	trials	ytpst=40.0 scnpz=1000.0	1172.746	1175.118	1180.111	1182.952	1178.227		
1188.877	10.192999999999984	trials	ytpst=65.0 scnpz=1000.0	1188.902	1189.968	1196.928	1199.069	1195.019		
1207.577	12.509999999999991	trials	ytpst=1000.0 scnpz=1000.0	1207.602	1210.146	1217.461	1220.086			
1224.977	9.092999999999847	trials	ytpst=40.0 scnpz=1000.0	1225.003	1226.769	1231.777	1234.069	1229.893		
1240.378	16.894000000000005	trials	ytpst=1000.0 scnpz=70.0	1240.404	1242.652	1254.977	1257.27		1248.103	1253.103
1261.698	12.223999999999933	trials	ytpst=1000.0 scnpz=1000.0	1261.724	1263.995	1271.311	1273.921			
1278.048	14.155999999999949	trials	ytpst=1000.0 scnpz=1000.0	1278.074	1281.363	1288.661	1292.203			
1299.194	10.942999999999984	trials	ytpst=1000.0 scnpz=1000.0	1299.22	1300.735	1308.061	1310.136			
1318.173	13.882000000000062	trials	ytpst=1000.0 scnpz=1000.0	1318.198	1321.264	1328.578	1332.054			
1337.17	11.283999999999878	trials	ytpst=65.0 scnpz=1000.0	1337.196	1339.003	1345.961	1348.453	1344.036		
1353.372	11.448999999999842	trials	ytpst=40.0 scnpz=1000.0	1353.398	1356.063	1361.077	1364.82	1359.169		
1373.317	16.636999999999944	trials	ytpst=1000.0 scnpz=70.0	1373.344	1374.814	1387.144	1389.953		1380.246	1385.27
1396.966	12.389000000000124	trials	ytpst=1000.0 scnpz=1000.0	1396.992	1398.736	1406.046	1409.354			
1419.744	13.994000000000142	trials	ytpst=1000.0 scnpz=1000.0	1419.772	1423.353	1430.678	1433.737			
1439.595	11.826000000000022	trials	ytpst=1000.0 scnpz=1000.0	1439.62	1441.087	1448.411	1451.42			
1458.301	10.687000000000126	trials	ytpst=65.0 scnpz=1000.0	1458.328	1459.948	1466.928	1468.987	1464.987		
1474.196	18.27500000000009	trials	ytpst=1000.0 scnpz=70.0	1474.222	1477.864	1490.194	1492.47		1483.304	1488.321
