onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
234.344	10.566000000000003	trials	same=1.0	234.37	235.526	242.85	244.909			
250.383	12.943999999999988	trials	same=1.0	250.409	253.158	260.5	263.326			
269.458	10.217999999999961	trials	same=1.0	269.485	270.803	278.117	279.675			
286.152	12.258000000000038	trials	same=1.0	286.177	287.686	294.983	298.409			
309.002	12.375	trials	same=1.0	309.026	310.059	317.368	321.376			
329.505	11.204999999999984	trials	same=1.0	329.536	331.41	338.733	340.709			
347.565	14.346000000000004	trials	same=1.0	347.59	351.853	359.184	361.91			
370.706	11.087999999999965	trials	same=1.0	370.732	372.025	379.334	381.793			
388.327	12.182999999999993	trials	same=1.0	388.355	389.487	396.8	400.509			
413.357	10.519999999999982	trials	same=1.0	413.385	414.454	421.784	423.876			
428.921	14.023000000000025	trials	same=1.0	428.947	432.242	439.55	442.943			
449.444	10.315999999999974	trials	same=1.0	449.47	450.693	458.001	459.759			
469.392	10.502999999999986	trials	same=1.0	469.42	470.737	478.05	479.893			
487.276	11.784999999999968	trials	same=1.0	487.303	488.687	495.988	499.06			
508.094	11.465999999999951	trials	same=1.0	508.12	509.737	517.068	519.559			
535.927	13.384000000000015	trials	same=1.0	535.953	539.27	546.599	549.309			
554.623	10.22199999999998	trials	same=1.0	554.648	555.76	563.068	564.844			
572.178	12.149999999999977	trials	same=1.0	572.204	574.837	582.136	584.327			
589.584	13.460000000000036	trials	same=1.0	589.608	592.394	599.684	603.043			
608.769	12.643000000000029	trials	same=1.0	608.794	612.36	619.668	621.411			
627.861	12.567000000000007	trials	same=1.0	627.887	629.971	637.285	640.427			
647.829	11.385000000000105	trials	same=1.0	647.855	649.31	656.621	659.213			
664.384	12.577999999999975	trials	same=1.0	664.414	666.255	673.553	676.961			
687.418	11.343999999999937	trials	same=1.0	687.444	688.771	696.086	698.761			
705.987	12.724000000000046	trials	same=1.0	706.012	707.138	714.452	718.71			
727.575	11.569999999999936	trials	same=1.0	727.6	729.744	737.068	739.144			
750.454	12.975000000000023	trials	same=1.0	750.479	754.395	761.703	763.428			
770.319	12.576999999999998	trials	same=1.0	770.344	773.471	780.786	782.895			
791.784	12.844000000000051	trials	same=1.0	791.809	795.138	802.453	804.627			
815.486	14.875999999999976	trials	same=1.0	815.511	819.945	827.286	830.361			
837.647	12.40199999999993	trials	same=1.0	837.673	841.039	848.352	850.048			
856.697	15.831999999999994	trials	same=1.0	856.723	860.444	867.77	872.528			
886.984	12.895999999999958	trials	same=1.0	887.01	889.677	896.986	899.878			
905.752	12.410000000000082	trials	same=1.0	905.778	907.361	914.669	918.161			
924.77	10.259999999999991	trials	same=1.0	924.796	925.982	933.302	935.029			
942.913	13.116999999999962	trials	same=1.0	942.941	944.022	951.303	956.029			
961.596	11.533000000000015	trials	same=1.0	961.622	964.029	971.337	973.128			
981.441	12.204999999999927	trials	same=1.0	981.467	984.462	991.77	993.645			
998.863	12.533999999999992	trials	same=1.0	998.89	1002.389	1009.706	1011.396			
1018.782	11.947999999999979	trials	same=1.0	1018.807	1021.262	1028.571	1030.728			
1037.23	10.083000000000084	trials	same=1.0	1037.255	1038.439	1045.754	1047.312			
1053.354	11.67599999999993	trials	same=1.0	1053.379	1055.106	1062.42	1065.029			
1073.062	11.035000000000082	trials	same=1.0	1073.089	1075.062	1082.384	1084.096			
1090.137	11.97700000000009	trials	same=1.0	1090.162	1092.463	1099.771	1102.113			
1108.121	11.741999999999962	trials	same=1.0	1108.146	1109.923	1117.221	1119.862			
1127.527	12.252999999999929	trials	same=1.0	1127.555	1129.08	1136.404	1139.779			
1147.969	11.195999999999913	trials	same=1.0	1147.996	1149.439	1156.737	1159.164			
1164.131	10.198999999999842	trials	same=1.0	1164.156	1165.313	1172.637	1174.329			
1180.696	11.301000000000158	trials	same=1.0	1180.722	1181.829	1189.138	1191.996			
1197.238	11.17599999999993	trials	same=1.0	1197.264	1199.024	1206.338	1208.412			
