onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
238.279	10.748999999999995	trials	ytpst=1000.0 scnpz=1000.0	238.304	239.487	246.785	249.027			
254.374	13.620000000000033	trials	ytpst=1000.0 scnpz=1000.0	254.402	256.704	264.002	267.993			
276.259	10.385999999999967	trials	ytpst=1000.0 scnpz=1000.0	276.287	277.31	284.619	286.643			
296.274	13.137999999999977	trials	ytpst=1000.0 scnpz=1000.0	296.303	300.096	307.385	309.41			
315.418	10.944000000000017	trials	ytpst=1000.0 scnpz=1000.0	315.444	317.344	324.635	326.361			
332.047	10.814999999999998	trials	ytpst=1000.0 scnpz=1000.0	332.073	333.445	340.752	342.86			
352.729	12.983000000000004	trials	ytpst=1000.0 scnpz=1000.0	352.755	355.195	362.503	365.711			
375.091	10.337999999999965	trials	ytpst=1000.0 scnpz=1000.0	375.119	376.171	383.485	385.428			
393.508	10.204000000000008	trials	ytpst=1000.0 scnpz=1000.0	393.534	394.745	402.052	403.711			
418.837	12.89100000000002	trials	ytpst=1000.0 scnpz=1000.0	418.862	421.744	429.036	431.727			
441.056	14.439999999999998	trials	ytpst=40.0 scnpz=1000.0	441.082	444.411	449.402	455.494	447.502		
462.096	11.766999999999996	trials	ytpst=1000.0 scnpz=1000.0	462.124	464.744	472.053	473.861			
482.981	12.548999999999978	trials	ytpst=1000.0 scnpz=1000.0	483.006	486.505	493.804	495.528			
501.61	11.369000000000028	trials	ytpst=65.0 scnpz=1000.0	501.637	504.106	511.07	512.978	509.145		
520.093	16.170000000000073	trials	ytpst=1000.0 scnpz=70.0	520.118	521.945	534.236	536.261		527.362	532.382
546.569	12.427000000000021	trials	ytpst=1000.0 scnpz=1000.0	546.595	549.128	556.453	558.995			
565.681	13.815999999999917	trials	ytpst=1000.0 scnpz=1000.0	565.706	568.789	576.103	579.495			
585.118	10.377999999999929	trials	ytpst=65.0 scnpz=1000.0	585.145	586.295	593.253	595.495	591.312		
600.897	10.232999999999947	trials	ytpst=40.0 scnpz=1000.0	600.923	602.111	607.136	611.129	605.212		
618.798	11.048000000000002	trials	ytpst=1000.0 scnpz=1000.0	618.823	620.156	627.453	629.845			
636.743	16.936999999999898	trials	ytpst=1000.0 scnpz=70.0	636.772	639.006	651.321	653.678		644.446	649.446
