onset	duration	nwb_table	trial_type	vstim_on	scene_move	rew	vstim_off	teleport	scene_pause	scene_resume
238.415	10.635999999999996	trials	same=1.0	238.443	239.699	246.974	249.05			
255.441	10.575999999999993	trials	same=1.0	255.485	257.033	264.289	266.016			
272.607	10.642999999999972	trials	same=1.0	272.634	273.733	281.04	283.249			
289.172	10.260999999999967	trials	same=1.0	289.198	290.465	297.788	299.432			
305.515	10.552000000000021	trials	same=1.0	305.542	306.748	314.021	316.065			
323.166	11.682999999999993	trials	same=1.0	323.194	325.264	332.572	334.848			
343.827	10.954999999999984	trials	same=1.0	343.857	345.348	352.639	354.781			
364.096	13.036000000000001	trials	same=1.0	364.124	368.297	375.572	377.131			
382.977	13.487000000000023	trials	same=1.0	383.006	386.796	394.069	396.463			
409.186	13.795000000000016	trials	same=1.0	409.212	412.279	419.585	422.979			
433.626	10.837000000000046	trials	same=1.0	433.654	435.429	442.718	444.462			
455.801	10.77800000000002	trials	same=1.0	455.828	457.428	464.703	466.578			
475.924	12.555000000000007	trials	same=1.0	475.968	478.127	485.385	488.477			
493.751	12.04400000000004	trials	same=1.0	493.779	496.111	503.385	505.793			
516.697	13.26400000000001	trials	same=1.0	516.724	519.993	527.284	529.96			
539.511	13.099000000000046	trials	same=1.0	539.537	543.626	550.932	552.609			
562.419	14.858000000000061	trials	same=1.0	562.446	565.458	572.75	577.275			
585.265	11.36099999999999	trials	same=1.0	585.292	586.675	593.983	596.624			
603.649	12.610000000000014	trials	same=1.0	603.676	607.341	614.647	616.258			
622.187	10.621999999999957	trials	same=1.0	622.216	623.357	630.666	632.808			
639.879	11.446000000000026	trials	same=1.0	639.906	641.656	648.982	651.323			
656.612	10.079000000000065	trials	same=1.0	656.639	657.822	665.098	666.69			
671.759	11.280999999999949	trials	same=1.0	671.786	673.239	680.529	683.039			
687.854	11.73599999999999	trials	same=1.0	687.882	690.739	698.03	699.589			
704.836	11.937000000000012	trials	same=1.0	704.865	706.755	714.045	716.771			
724.614	10.509000000000015	trials	same=1.0	724.641	725.921	733.23	735.122			
751.813	12.875999999999976	trials	same=1.0	751.84	754.787	762.077	764.688			
769.802	11.436000000000035	trials	same=1.0	769.83	771.303	778.579	781.237			
787.453	13.085000000000036	trials	same=1.0	787.48	789.819	797.111	800.536			
806.179	11.274999999999977	trials	same=1.0	806.205	808.22	815.509	817.452			
827.777	11.309999999999945	trials	same=1.0	827.805	829.752	837.044	839.086			
846.663	11.18999999999994	trials	same=1.0	846.69	848.901	856.177	857.852			
866.16	12.509000000000015	trials	same=1.0	866.187	869.801	877.11	878.668			
883.811	10.049999999999955	trials	same=1.0	883.839	884.851	892.143	893.86			
899.743	16.791999999999916	trials	same=1.0	899.769	901.734	909.026	916.534			
921.899	14.235000000000014	trials	same=1.0	921.927	923.233	930.525	936.133			
945.699	12.019000000000005	trials	same=1.0	945.741	948.033	955.308	957.716			
964.449	12.301000000000045	trials	same=1.0	964.476	967.099	974.374	976.749			
982.341	12.708999999999946	trials	same=1.0	982.368	984.248	991.54	995.048			
1000.555	11.111000000000104	trials	same=1.0	1000.582	1002.331	1009.624	1011.665			
1018.088	10.394000000000005	trials	same=1.0	1018.115	1019.464	1026.773	1028.481			
1034.034	10.630999999999858	trials	same=1.0	1034.061	1035.081	1042.373	1044.664			
1053.164	13.233999999999924	trials	same=1.0	1053.375	1055.713	1062.805	1066.397			
1071.82	12.27800000000002	trials	same=1.0	1071.847	1074.379	1081.686	1084.096			
1091.045	12.117999999999938	trials	same=1.0	1091.072	1093.263	1100.538	1103.162			
1111.313	11.733999999999924	trials	same=1.0	1111.341	1113.112	1120.402	1123.046			
1130.46	11.103000000000065	trials	same=1.0	1130.489	1132.211	1139.521	1141.562			
1147.444	11.535000000000082	trials	same=1.0	1147.471	1149.53	1156.818	1158.978			
1164.866	12.729000000000042	trials	same=1.0	1164.893	1168.427	1175.72	1177.594			
1188.417	12.111000000000104	trials	same=1.0	1188.444	1191.393	1198.702	1200.527			
1207.357	12.136999999999944	trials	same=1.0	1207.385	1209.909	1217.202	1219.493			
1227.15	10.909999999999854	trials	same=1.0	1227.177	1228.859	1236.149	1238.058			
1244.901	11.557999999999993	trials	same=1.0	1244.928	1247.459	1254.734	1256.458			
1264.848	11.327999999999975	trials	same=1.0	1264.897	1265.975	1273.251	1276.174			
1282.647	12.128000000000156	trials	same=1.0	1282.674	1283.774	1291.05	1294.774			
1301.901	10.839999999999918	trials	same=1.0	1301.928	1303.041	1310.348	1312.74			
1318.98	11.826999999999998	trials	same=1.0	1319.007	1320.357	1327.683	1330.806			
1337.365	10.725999999999885	trials	same=1.0	1337.392	1339.156	1346.449	1348.09			
1357.73	11.277000000000044	trials	same=1.0	1357.758	1360.172	1367.446	1369.006			
1375.995	10.044000000000096	trials	same=1.0	1376.021	1377.106	1384.398	1386.038			
1392.268	11.17100000000005	trials	same=1.0	1392.296	1393.372	1400.664	1403.438			
1408.768	13.120999999999867	trials	same=1.0	1408.797	1412.755	1420.031	1421.888			
1428.621	14.134000000000015	trials	same=1.0	1428.648	1432.537	1439.83	1442.754			
1450.21	10.810999999999922	trials	same=1.0	1450.238	1452.071	1459.412	1461.02			
